"id","name","i","o"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[9, 7, 1]","[7, 9]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[1, 2, 9, 1, 3, 4, 2]","[2, 9, 1, 3, 4, 1]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[4, 8, 8, 3, 2, 2, 7, 6, 2, 5]","[8, 8, 3, 2, 2, 7, 6, 2, 4]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[8, 9, 1, 9, 3, 5, 0, 1, 8]","[9, 1, 9, 3, 5, 0, 1, 8]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[3]","[3]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[3, 8, 3, 1, 3, 5, 8, 5, 4]","[8, 3, 1, 3, 5, 8, 5, 3]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[1, 4, 9, 0, 8, 1, 8, 0]","[4, 9, 0, 8, 1, 8, 1]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[1, 3, 8, 2, 8, 5, 5]","[3, 8, 2, 8, 5, 1]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[3, 0, 3, 7]","[0, 3, 3]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[2, 6, 8]","[6, 2]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[5, 7]","[5]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[6, 0, 1, 7, 6, 9, 9, 4, 9, 7]","[0, 1, 7, 6, 9, 9, 4, 9, 6]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[6, 9]","[6]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[1, 9, 7, 4, 0, 8, 2]","[9, 7, 4, 0, 8, 1]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[2, 6, 4]","[6, 2]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[6, 4, 2, 4, 4, 7]","[4, 2, 4, 4, 6]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[5, 6, 2, 2, 3, 9, 6, 7, 3]","[6, 2, 2, 3, 9, 6, 7, 5]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[3, 4, 9, 5]","[4, 9, 3]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[1, 9, 1, 2, 9, 2, 2]","[9, 1, 2, 9, 2, 1]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[6, 9, 5, 5, 3, 3, 7, 7]","[9, 5, 5, 3, 3, 7, 6]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[0]","[0]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[7, 0, 5]","[0, 7]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[7, 2, 6, 6, 6]","[2, 6, 6, 7]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[1, 6]","[1]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[7, 0, 7, 4]","[0, 7, 7]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[0, 8, 5]","[8, 0]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[4, 7, 0, 3, 1, 3, 9, 2]","[7, 0, 3, 1, 3, 9, 4]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[8, 7, 4, 2]","[7, 4, 8]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[4, 0, 0, 2]","[0, 0, 4]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[7, 1, 3, 6, 5]","[1, 3, 6, 7]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[2, 0, 6, 2, 8, 6, 0, 3, 3]","[0, 6, 2, 8, 6, 0, 3, 2]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[0, 8, 3]","[8, 0]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[6, 4, 8, 0, 7, 6, 1]","[4, 8, 0, 7, 6, 6]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[7, 5, 6, 5, 1, 1, 6, 0]","[5, 6, 5, 1, 1, 6, 7]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[3, 7, 6]","[7, 3]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[7, 3]","[7]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[6, 0, 3, 9, 8, 1, 7, 2]","[0, 3, 9, 8, 1, 7, 6]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[5, 6, 1, 2, 8, 7, 5]","[6, 1, 2, 8, 7, 5]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[9]","[9]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[6, 3, 5, 4, 5, 1, 3, 6, 7]","[3, 5, 4, 5, 1, 3, 6, 6]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[8, 2, 2, 7, 3, 3, 3]","[2, 2, 7, 3, 3, 8]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[2, 7, 2, 4, 2, 9]","[7, 2, 4, 2, 2]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[8, 7, 9, 7, 6, 3, 0, 0, 3]","[7, 9, 7, 6, 3, 0, 0, 8]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[1, 9, 2]","[9, 1]"
"c2-053","C xs = Replace (Head xs) (Len (Tail xs)) (Tail xs)","[4, 3, 0, 0]","[3, 0, 4]"
