"id","name","i","o"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[8, 1, 7, 3, 0, 7, 1, 3]","[7, 1, 3]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[1, 0, 8]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[3]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[0, 3, 0, 5]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[6, 7, 7, 8, 1, 6, 2, 6]","[6, 2, 6]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[9]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[2, 9, 4, 7, 6, 9, 5, 3, 8, 0]","[9, 5, 3, 8, 0]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[3, 7, 0, 1, 5, 5, 5, 0]","[5, 5, 0]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[0, 5, 9, 1, 3, 6, 5, 3, 3, 7]","[6, 5, 3, 3, 7]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[3, 3, 3, 6, 8, 5, 6, 2]","[5, 6, 2]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[5, 1, 5, 6, 4, 4, 6, 5, 6]","[4, 6, 5, 6]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[1, 5]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[1, 8, 4, 7, 0, 2, 7, 7, 3, 9]","[2, 7, 7, 3, 9]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[3, 4, 1, 5, 0, 0, 7, 6, 6, 3]","[0, 7, 6, 6, 3]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[0, 9, 6, 7, 2]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[0]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[1, 1, 9]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[1, 3, 6]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[2, 0, 9, 8, 8, 1, 4, 5, 7, 6]","[1, 4, 5, 7, 6]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[9, 4, 3, 3, 9]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[0, 3, 4]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[6, 0, 7, 2, 6]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[5, 0, 3, 3, 2]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[9, 7, 6, 0, 2]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[4, 9, 7, 3, 2, 9, 1, 7, 0]","[9, 1, 7, 0]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[8, 4, 5, 1, 9, 3, 8, 0, 4, 4]","[3, 8, 0, 4, 4]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[0, 3, 3, 6, 6]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[6, 9, 3, 0]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[6]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[8, 5]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[2, 1, 7, 7, 8]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[8, 0]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[8, 6]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[9, 1, 8, 0, 0, 1, 2, 1, 4, 3]","[1, 2, 1, 4, 3]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[2, 9, 9, 5, 6, 6, 0, 6]","[6, 0, 6]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[3, 5, 3, 8, 5, 6, 5, 1]","[6, 5, 1]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[5, 1, 0, 7, 3, 2, 0]","[2, 0]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[5, 8, 7, 6, 1, 3, 2, 6, 8, 3]","[3, 2, 6, 8, 3]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[5, 2]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[5, 8, 9, 5, 2, 3, 9, 3, 4]","[3, 9, 3, 4]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[9, 6, 2, 2, 6, 1, 3, 8, 9]","[1, 3, 8, 9]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[0, 8, 6, 0, 4]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[4, 5, 6, 3]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[6, 5]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[8, 4, 8, 3]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[0, 7, 8, 2, 4, 2, 0, 6]","[2, 0, 6]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[0, 2, 9, 1, 0, 5, 4, 0, 8]","[5, 4, 0, 8]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[6, 4, 6, 4, 1]","[]"
"c2-011","C xs = (Tail (Tail (Tail (Tail (Tail xs)))))","[7, 3, 3]","[]"
