"id","name","i","o"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[8, 7, 3, 9, 4, 8, 9, 7, 8]","[5, 4, 6, 5, 6, 4, 5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[9, 0, 5, 9, 9]","[6, 6, 6]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[2, 1, 1]","[]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[7, 6, 5, 8]","[4, 3, 5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[6, 9, 8, 0, 9]","[3, 6, 5, 6]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[8, 4, 8, 2, 0, 6, 6, 5, 0]","[5, 5, 3, 3]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[3]","[]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[0, 7]","[4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[9, 9, 8, 6, 1, 8, 4]","[6, 6, 5, 3, 5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[8, 1, 1, 5, 1]","[5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[8, 7, 0]","[5, 4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[8, 1, 0]","[5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[]","[]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[5, 7, 1, 0, 4, 1, 7, 5]","[4, 4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[1, 7, 6, 9, 0, 0, 4]","[4, 3, 6]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[9, 5]","[6]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[5, 7, 2, 8, 1, 8, 7, 9]","[4, 5, 5, 4, 6]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[3, 6, 3, 6, 7]","[3, 3, 4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[9, 0, 5, 8, 7, 8, 1, 3, 0]","[6, 5, 4, 5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[9, 2, 5, 8, 0, 3]","[6, 5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[6]","[3]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[0, 1]","[]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[6, 5, 5, 5, 2]","[3]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[7, 9, 3, 3]","[4, 6]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[1, 7]","[4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[5, 5, 7, 4]","[4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[0, 4, 7, 2, 7, 5, 8, 5, 1]","[4, 4, 5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[3, 3, 9, 3]","[6]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[2, 1, 6, 8, 4, 7]","[3, 5, 4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[2, 7, 0, 9, 7, 0, 1, 5]","[4, 6, 4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[9, 8, 8, 1]","[6, 5, 5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[7, 5]","[4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[5, 9, 0, 5]","[6]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[5]","[]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[3, 7, 3]","[4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[0, 1, 6, 8, 1, 8, 6, 5, 2]","[3, 5, 5, 3]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[5, 6, 0, 0, 6, 4, 4, 4, 3, 7]","[3, 3, 4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[9, 5, 1, 8]","[6, 5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[0, 3]","[]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[9, 8, 6, 8, 9, 1, 8, 8, 1]","[6, 5, 3, 5, 6, 5, 5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[4, 1, 2, 0, 0, 6, 1]","[3]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[4, 9, 2, 3, 5, 7, 2]","[6, 4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[2, 1, 9, 5, 9, 7, 7, 2, 5]","[6, 6, 4, 4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[4, 1, 3, 6]","[3]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[1, 8]","[5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[4, 1, 3]","[]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[4, 5, 2, 6, 7, 7, 2]","[3, 4, 4]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[2, 7, 9, 6, 2, 0, 6, 5, 2]","[4, 6, 3, 3]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[1, 3, 8]","[5]"
"c2-041","C xs = Map (- 3) (Filter (> 5) xs)","[0, 2, 4, 8, 6, 5, 7]","[5, 3, 4]"
