"id","name","i","o"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[8, 3, 7, 4, 7, 2, 8, 7, 3]","[3, 8, 3, 7, 4, 7, 2, 8, 7]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[8, 1, 2, 8, 8, 1, 2]","[2, 8, 1, 2, 8, 8, 1]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[1, 3]","[3, 1]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[3, 5, 3, 3, 4, 8, 6, 1, 1, 5]","[5, 3, 5, 3, 3, 4, 8, 6, 1, 1]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[8, 4, 2, 9, 0]","[0, 8, 4, 2, 9]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[5, 9, 2, 6, 3, 2, 6, 3]","[3, 5, 9, 2, 6, 3, 2, 6]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[9, 6, 5, 1, 0, 0, 5, 2, 4, 0]","[0, 9, 6, 5, 1, 0, 0, 5, 2, 4]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[8, 8, 6, 0, 4]","[4, 8, 8, 6, 0]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[5, 7, 8, 8, 8, 5, 7, 8, 9, 4]","[4, 5, 7, 8, 8, 8, 5, 7, 8, 9]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[2, 5, 9]","[9, 2, 5]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[3, 7, 4, 1, 2, 4]","[4, 3, 7, 4, 1, 2]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[9, 0, 4, 0]","[0, 9, 0, 4]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[4, 2, 1, 5, 4, 8, 1, 7, 7, 1]","[1, 4, 2, 1, 5, 4, 8, 1, 7, 7]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[7, 0, 8]","[8, 7, 0]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[9, 7, 4, 2, 6, 3, 9, 1, 8, 7]","[7, 9, 7, 4, 2, 6, 3, 9, 1, 8]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[1, 2]","[2, 1]"
"c2-052","C xs = Insert (Last xs) 1 (Droplast xs)","[1, 4, 4, 5, 9, 0, 3]","[3, 1, 4, 4, 5, 9, 0]"
