"id","name","i","o"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[]","[]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[5, 6, 3, 1, 5, 2, 0]","[5, 6, 3, 1, 5]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[5, 7, 6, 2, 7, 8]","[5, 7, 6, 2, 7]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[8, 7, 7, 3, 0]","[8, 7, 7, 3, 0]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[2, 9, 2, 2]","[2, 9, 2, 2]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[4, 4, 0, 3, 0, 1, 5, 7, 0, 6]","[4, 4, 0, 3, 0]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[1, 2, 8, 9, 7, 5, 4, 0]","[1, 2, 8, 9, 7]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[8, 2, 3, 8, 0, 8, 0, 0, 6, 8]","[8, 2, 3, 8, 0]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[8, 9, 3, 0, 1, 1, 8, 6]","[8, 9, 3, 0, 1]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[4, 1, 9, 0, 9, 9]","[4, 1, 9, 0, 9]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[4, 7, 8]","[4, 7, 8]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[6, 8, 8]","[6, 8, 8]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[4, 8]","[4, 8]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[5, 9, 2]","[5, 9, 2]"
"c2-007","C xs = (If (< (Len xs) 5) xs (Take 5 xs))","[5, 9, 6, 3, 5, 6, 5, 8, 6]","[5, 9, 6, 3, 5]"
