"id","name","i","o"
"c2-036","C xs = Concat xs xs","[9, 6, 4, 4]","[9, 6, 4, 4, 9, 6, 4, 4]"
"c2-036","C xs = Concat xs xs","[0, 7]","[0, 7, 0, 7]"
"c2-036","C xs = Concat xs xs","[4, 6, 1]","[4, 6, 1, 4, 6, 1]"
"c2-036","C xs = Concat xs xs","[]","[]"
"c2-036","C xs = Concat xs xs","[5, 0, 8, 7, 4]","[5, 0, 8, 7, 4, 5, 0, 8, 7, 4]"
"c2-036","C xs = Concat xs xs","[5, 6, 9, 4, 2]","[5, 6, 9, 4, 2, 5, 6, 9, 4, 2]"
"c2-036","C xs = Concat xs xs","[7, 9, 8]","[7, 9, 8, 7, 9, 8]"
"c2-036","C xs = Concat xs xs","[9, 3, 6, 5, 7]","[9, 3, 6, 5, 7, 9, 3, 6, 5, 7]"
"c2-036","C xs = Concat xs xs","[2, 4, 8, 2, 5]","[2, 4, 8, 2, 5, 2, 4, 8, 2, 5]"
"c2-036","C xs = Concat xs xs","[9, 2, 3]","[9, 2, 3, 9, 2, 3]"
"c2-036","C xs = Concat xs xs","[6, 7, 0, 1]","[6, 7, 0, 1, 6, 7, 0, 1]"
"c2-036","C xs = Concat xs xs","[0, 5, 9]","[0, 5, 9, 0, 5, 9]"
"c2-036","C xs = Concat xs xs","[6, 5, 9, 9]","[6, 5, 9, 9, 6, 5, 9, 9]"
"c2-036","C xs = Concat xs xs","[8, 1, 4, 0, 3]","[8, 1, 4, 0, 3, 8, 1, 4, 0, 3]"
"c2-036","C xs = Concat xs xs","[5, 5]","[5, 5, 5, 5]"
"c2-036","C xs = Concat xs xs","[9, 3, 0, 0, 7]","[9, 3, 0, 0, 7, 9, 3, 0, 0, 7]"
"c2-036","C xs = Concat xs xs","[7, 9, 2, 4, 1]","[7, 9, 2, 4, 1, 7, 9, 2, 4, 1]"
"c2-036","C xs = Concat xs xs","[9, 0]","[9, 0, 9, 0]"
"c2-036","C xs = Concat xs xs","[7, 0, 8]","[7, 0, 8, 7, 0, 8]"
"c2-036","C xs = Concat xs xs","[0, 0]","[0, 0, 0, 0]"
"c2-036","C xs = Concat xs xs","[9, 7, 4, 4, 2]","[9, 7, 4, 4, 2, 9, 7, 4, 4, 2]"
"c2-036","C xs = Concat xs xs","[9, 2, 1, 3]","[9, 2, 1, 3, 9, 2, 1, 3]"
"c2-036","C xs = Concat xs xs","[7, 5]","[7, 5, 7, 5]"
"c2-036","C xs = Concat xs xs","[6]","[6, 6]"
"c2-036","C xs = Concat xs xs","[9, 9, 2, 3, 5]","[9, 9, 2, 3, 5, 9, 9, 2, 3, 5]"
"c2-036","C xs = Concat xs xs","[9, 5, 0, 8]","[9, 5, 0, 8, 9, 5, 0, 8]"
"c2-036","C xs = Concat xs xs","[0, 8, 8, 7]","[0, 8, 8, 7, 0, 8, 8, 7]"
"c2-036","C xs = Concat xs xs","[9, 5, 2, 5, 2]","[9, 5, 2, 5, 2, 9, 5, 2, 5, 2]"
"c2-036","C xs = Concat xs xs","[2, 7]","[2, 7, 2, 7]"
"c2-036","C xs = Concat xs xs","[1, 2, 6, 4, 6]","[1, 2, 6, 4, 6, 1, 2, 6, 4, 6]"
"c2-036","C xs = Concat xs xs","[5]","[5, 5]"
"c2-036","C xs = Concat xs xs","[8]","[8, 8]"
"c2-036","C xs = Concat xs xs","[5, 6, 9]","[5, 6, 9, 5, 6, 9]"
"c2-036","C xs = Concat xs xs","[7]","[7, 7]"
"c2-036","C xs = Concat xs xs","[9, 7, 2, 6]","[9, 7, 2, 6, 9, 7, 2, 6]"
"c2-036","C xs = Concat xs xs","[3]","[3, 3]"
"c2-036","C xs = Concat xs xs","[8, 8, 6, 4]","[8, 8, 6, 4, 8, 8, 6, 4]"
"c2-036","C xs = Concat xs xs","[2]","[2, 2]"
"c2-036","C xs = Concat xs xs","[3, 9]","[3, 9, 3, 9]"
"c2-036","C xs = Concat xs xs","[8, 1, 4]","[8, 1, 4, 8, 1, 4]"
"c2-036","C xs = Concat xs xs","[7, 2, 7, 8, 2]","[7, 2, 7, 8, 2, 7, 2, 7, 8, 2]"
"c2-036","C xs = Concat xs xs","[2, 6, 7, 4, 4]","[2, 6, 7, 4, 4, 2, 6, 7, 4, 4]"
"c2-036","C xs = Concat xs xs","[4]","[4, 4]"
"c2-036","C xs = Concat xs xs","[4, 2]","[4, 2, 4, 2]"
"c2-036","C xs = Concat xs xs","[7, 0, 9]","[7, 0, 9, 7, 0, 9]"
"c2-036","C xs = Concat xs xs","[9]","[9, 9]"
"c2-036","C xs = Concat xs xs","[5, 4, 5]","[5, 4, 5, 5, 4, 5]"
"c2-036","C xs = Concat xs xs","[9, 5]","[9, 5, 9, 5]"
"c2-036","C xs = Concat xs xs","[7, 2, 7, 4, 6]","[7, 2, 7, 4, 6, 7, 2, 7, 4, 6]"
"c2-036","C xs = Concat xs xs","[7, 2, 5, 5, 0]","[7, 2, 5, 5, 0, 7, 2, 5, 5, 0]"
