"id","name","i","o"
"c2-042","C xs = Len xs","[9, 0, 3, 2, 0]","[5]"
"c2-042","C xs = Len xs","[7, 9, 2, 9]","[4]"
"c2-042","C xs = Len xs","[1, 7, 1, 4, 2, 2, 7, 5]","[8]"
"c2-042","C xs = Len xs","[4, 6, 5, 3, 3, 8, 5, 7, 3]","[9]"
"c2-042","C xs = Len xs","[3, 4, 0, 2, 0, 4, 4, 7, 8]","[9]"
"c2-042","C xs = Len xs","[4]","[1]"
"c2-042","C xs = Len xs","[0]","[1]"
"c2-042","C xs = Len xs","[5, 3, 7, 4, 2, 7, 5]","[7]"
"c2-042","C xs = Len xs","[1, 3, 4, 4, 5, 5]","[6]"
"c2-042","C xs = Len xs","[5, 4, 6, 5, 3, 4, 5, 1]","[8]"
"c2-042","C xs = Len xs","[7, 4, 5, 4, 7, 6]","[6]"
"c2-042","C xs = Len xs","[8, 4]","[2]"
"c2-042","C xs = Len xs","[6, 2, 3]","[3]"
"c2-042","C xs = Len xs","[0, 5, 2, 6, 0, 6, 2]","[7]"
"c2-042","C xs = Len xs","[5, 1, 8, 9, 8]","[5]"
"c2-042","C xs = Len xs","[]","[0]"
"c2-042","C xs = Len xs","[9, 3, 6]","[3]"
"c2-042","C xs = Len xs","[4, 7, 0, 4, 5, 9, 1, 1]","[8]"
"c2-042","C xs = Len xs","[3, 6, 4, 0, 2]","[5]"
"c2-042","C xs = Len xs","[9, 7, 1, 0, 8, 9, 9, 9, 9, 8]","[10]"
"c2-042","C xs = Len xs","[0, 0, 2, 9]","[4]"
"c2-042","C xs = Len xs","[2, 5, 6]","[3]"
"c2-042","C xs = Len xs","[4, 2, 4, 2, 0, 8, 1]","[7]"
"c2-042","C xs = Len xs","[1, 2, 1, 9, 6, 0, 1, 5]","[8]"
"c2-042","C xs = Len xs","[6, 5, 0, 4, 3]","[5]"
"c2-042","C xs = Len xs","[5]","[1]"
"c2-042","C xs = Len xs","[5, 8, 4, 1, 6, 8]","[6]"
"c2-042","C xs = Len xs","[6, 3]","[2]"
"c2-042","C xs = Len xs","[6, 6, 5, 8, 3, 7, 3, 0]","[8]"
"c2-042","C xs = Len xs","[4, 4, 8, 4, 2, 2, 9, 0, 9]","[9]"
"c2-042","C xs = Len xs","[8, 6, 0, 3, 5, 2]","[6]"
"c2-042","C xs = Len xs","[3, 5, 8, 0, 4, 9, 5, 9]","[8]"
"c2-042","C xs = Len xs","[2, 0, 7, 9, 6, 9, 7, 5]","[8]"
"c2-042","C xs = Len xs","[0, 5, 3, 5]","[4]"
"c2-042","C xs = Len xs","[8, 9, 5, 7, 0, 0]","[6]"
"c2-042","C xs = Len xs","[8, 8, 0, 8, 2, 1, 8, 5, 4, 0]","[10]"
"c2-042","C xs = Len xs","[8, 8, 6, 3, 9]","[5]"
"c2-042","C xs = Len xs","[9]","[1]"
"c2-042","C xs = Len xs","[2, 7, 5, 4, 0, 8, 8, 7, 2]","[9]"
"c2-042","C xs = Len xs","[7, 3, 1, 5, 9, 3, 7, 2]","[8]"
"c2-042","C xs = Len xs","[0, 9]","[2]"
"c2-042","C xs = Len xs","[3, 1, 8, 5]","[4]"
"c2-042","C xs = Len xs","[3, 3]","[2]"
"c2-042","C xs = Len xs","[7]","[1]"
"c2-042","C xs = Len xs","[3]","[1]"
"c2-042","C xs = Len xs","[1, 3, 1]","[3]"
"c2-042","C xs = Len xs","[8, 1]","[2]"
"c2-042","C xs = Len xs","[6, 2, 0]","[3]"
"c2-042","C xs = Len xs","[5, 0, 4, 5, 9, 8, 9]","[7]"
"c2-042","C xs = Len xs","[2, 1, 6, 0]","[4]"
