i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 8) [])","CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) [])))))","C (CONS (DIGIT 8) [])"
1,3000,0,"C (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 4) []))))","CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 4) []))))))))","C (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 4) []))))"
2,3000,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 7) 0) []))))","CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 7) 0) []))))))))","CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 7) 0) []))))))))"
3,2010,1,"C (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 1) [])))","CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 1) [])))))))","CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 1) [])))))))"
4,1350,1,"C (CONS (DECC (DIGIT 7) 0) [])","CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) [])))))","CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) [])))))"
5,910,1,"C (CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 6) []))))","CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 6) []))))))))","CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 6) []))))))))"
6,610,1,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) [])))))","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) [])))))"
7,410,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 1) []))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 1) []))))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 1) []))))))"
8,280,1,"C (CONS (DECC (DIGIT 9) 9) [])","CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) [])))))","CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) [])))))"
9,190,1,"C (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 3) []))))","CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 3) []))))))))","CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 3) []))))))))"
