i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DECC (DIGIT 9) 3) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 8) 7) [])))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 9) 3) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 8) 7) [])))))))","C (CONS (DECC (DIGIT 9) 3) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 8) 7) [])))"
1,3000,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 3) 8) []))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 5) (CONS (DECC (DIGIT 3) 8) []))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 5) (CONS (DECC (DIGIT 3) 8) []))))))"
2,2010,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 6) 0) (CONS (DECC (DIGIT 8) 2) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 6) 0) (CONS (DECC (DIGIT 8) 2) [])))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 6) 0) (CONS (DECC (DIGIT 8) 2) [])))))))))"
3,1350,1,"C (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 8) 7) (CONS (DIGIT 6) (CONS (DIGIT 6) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 8) 7) (CONS (DIGIT 6) (CONS (DIGIT 6) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 8) 7) (CONS (DIGIT 6) (CONS (DIGIT 6) []))))))))"
4,910,1,"C (CONS (DECC (DIGIT 8) 3) [])","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 8) 3) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 8) 3) [])))))"
5,610,1,"C (CONS (DIGIT 7) (CONS (DIGIT 0) []))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 7) (CONS (DIGIT 0) []))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 7) (CONS (DIGIT 0) []))))))"
6,410,1,"C (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 2) 5) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 2) 5) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 2) 5) []))))))))"
7,280,1,"C []","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) []))))"
8,190,1,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 5) 5) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 5) 5) [])))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 5) 5) [])))))))))"
9,130,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 6) [])))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 6) [])))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 6) [])))))))"
