i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 8) (CONS (DIGIT 2) (CONS (DIGIT 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DIGIT 5) [])))))))","CONS (DIGIT 5) []","C (CONS (DIGIT 8) (CONS (DIGIT 2) (CONS (DIGIT 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DIGIT 5) [])))))))"
1,3000,0,"C (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 3) 6) (CONS (DIGIT 4) [])))","CONS (DIGIT 4) []","CONS (DIGIT 5) []"
2,3000,1,"C (CONS (DECC (DIGIT 1) 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 6) [])))","CONS (DECC (DIGIT 2) 6) []","CONS (DECC (DIGIT 2) 6) []"
3,2010,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 6) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 1) 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 8) []))))))))))","CONS (DIGIT 8) []","CONS (DIGIT 8) []"
4,1350,1,"C (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 7) 6) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 6) 9) [])))))))","CONS (DECC (DIGIT 6) 9) []","CONS (DECC (DIGIT 6) 9) []"
5,910,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 6) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 6) [])))))))))","CONS (DIGIT 6) []","CONS (DIGIT 6) []"
6,610,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 7) 7) (CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 9) [])))))","CONS (DECC (DIGIT 2) 9) []","CONS (DECC (DIGIT 2) 9) []"
7,410,1,"C (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 9) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 5) []))))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
8,280,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 9) (CONS (DIGIT 7) []))))))","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
9,190,1,"C (CONS (DECC (DIGIT 2) 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 7) 2) (CONS (DECC (DIGIT 8) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 8) 0) (CONS (DIGIT 3) (CONS (DIGIT 1) [])))))))))","CONS (DIGIT 1) []","CONS (DIGIT 1) []"
10,130,1,"C (CONS (DIGIT 8) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 6) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 4) 5) []))))))))))","CONS (DECC (DIGIT 4) 5) []","CONS (DECC (DIGIT 4) 5) []"
11,90,1,"C (CONS (DIGIT 9) (CONS (DIGIT 7) []))","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
12,70,1,"C (CONS (DIGIT 5) (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 0) (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 7) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) [])))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
13,50,1,"C (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 0) []))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
14,40,1,"C (CONS (DECC (DIGIT 8) 5) (CONS (DECC (DIGIT 9) 5) (CONS (DIGIT 6) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 3) 3) []))))))","CONS (DECC (DIGIT 3) 3) []","CONS (DECC (DIGIT 3) 3) []"
15,30,1,"C (CONS (DIGIT 3) (CONS (DIGIT 5) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 7) 8) []))))))","CONS (DECC (DIGIT 7) 8) []","CONS (DECC (DIGIT 7) 8) []"
16,30,1,"C (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 7) 9) [])))))))","CONS (DECC (DIGIT 7) 9) []","CONS (DECC (DIGIT 7) 9) []"
17,30,1,"C (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 9) (CONS (DIGIT 6) (CONS (DIGIT 5) (CONS (DIGIT 3) [])))))","CONS (DIGIT 3) []","CONS (DIGIT 3) []"
18,30,1,"C (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 3) 1) [])))","CONS (DECC (DIGIT 3) 1) []","CONS (DECC (DIGIT 3) 1) []"
19,30,1,"C (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 9) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DIGIT 4) [])))))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
