i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 1) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DIGIT 8) []))))","CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) [])))","C (CONS (DIGIT 1) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DIGIT 8) []))))"
1,3000,0,"C (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 5) 8) (CONS (DIGIT 9) (CONS (DECC (DIGIT 5) 4) []))))))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 5) 8) (CONS (DIGIT 9) (CONS (DECC (DIGIT 5) 4) [])))))))","CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) [])))))))"
2,3000,1,"C (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 8) 5) (CONS (DIGIT 8) (CONS (DIGIT 9) (CONS (DIGIT 1) (CONS (DIGIT 8) []))))))))))","CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 8) 5) (CONS (DIGIT 8) (CONS (DIGIT 9) (CONS (DIGIT 1) (CONS (DIGIT 8) [])))))))))","CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 8) 5) (CONS (DIGIT 8) (CONS (DIGIT 9) (CONS (DIGIT 1) (CONS (DIGIT 8) [])))))))))"
3,2010,1,"C (CONS (DIGIT 9) (CONS (DIGIT 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 7) 0) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 3) 7) [])))))))))","CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 7) 0) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 3) 7) []))))))))","CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 7) 0) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 3) 7) []))))))))"
4,1350,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 8) 5) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 5) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 4) []))))))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 5) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 4) [])))))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 5) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 4) [])))))))"
5,910,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 1) 5) (CONS (DIGIT 0) [])))))","CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 1) 5) (CONS (DIGIT 0) []))))","CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 1) 5) (CONS (DIGIT 0) []))))"
6,610,1,"C (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 8) (CONS (DIGIT 9) [])))","CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DIGIT 9) []))","CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DIGIT 9) []))"
7,410,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 3) (CONS (DIGIT 3) (CONS (DIGIT 6) (CONS (DECC (DIGIT 6) 9) [])))))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 6) (CONS (DECC (DIGIT 6) 9) []))))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 6) (CONS (DECC (DIGIT 6) 9) []))))"
8,280,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 9) 6) (CONS (DIGIT 9) (CONS (DECC (DIGIT 8) 3) []))))","CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DECC (DIGIT 8) 3) [])))","CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DECC (DIGIT 8) 3) [])))"
9,190,1,"C (CONS (DIGIT 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 1) 1) (CONS (DIGIT 9) (CONS (DIGIT 2) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 2) 0) [])))))))))","CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 1) 1) (CONS (DIGIT 9) (CONS (DIGIT 2) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 2) 0) []))))))))","CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 1) 1) (CONS (DIGIT 9) (CONS (DIGIT 2) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 2) 0) []))))))))"
