i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 8) 9) (CONS (DIGIT 6) [])))","CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 8) 9) (CONS (DIGIT 6) [])))))","C (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 8) 9) (CONS (DIGIT 6) [])))"
1,3000,1,"C (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 3) 1) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 8) (CONS (DIGIT 5) (CONS (DIGIT 9) []))))))","CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 3) 1) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 8) (CONS (DIGIT 5) (CONS (DIGIT 9) []))))))))","CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 3) 1) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 8) (CONS (DIGIT 5) (CONS (DIGIT 9) []))))))))"
2,2010,1,"C (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DIGIT 1) (CONS (DECC (DIGIT 7) 8) (CONS (DIGIT 9) (CONS (DIGIT 3) [])))))))","CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DIGIT 1) (CONS (DECC (DIGIT 7) 8) (CONS (DIGIT 9) (CONS (DIGIT 3) [])))))))))","CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DIGIT 1) (CONS (DECC (DIGIT 7) 8) (CONS (DIGIT 9) (CONS (DIGIT 3) [])))))))))"
3,1350,1,"C (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 3) (CONS (DIGIT 8) []))))))","CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 3) (CONS (DIGIT 8) []))))))))","CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 3) (CONS (DIGIT 8) []))))))))"
4,910,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 1) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 5) 1) (CONS (DIGIT 8) []))))))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 1) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 5) 1) (CONS (DIGIT 8) []))))))))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 1) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 5) 1) (CONS (DIGIT 8) []))))))))"
5,610,1,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) [])))","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) [])))"
6,410,1,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 8) (CONS (DECC (DIGIT 9) 7) []))))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 8) (CONS (DECC (DIGIT 9) 7) []))))))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 8) (CONS (DECC (DIGIT 9) 7) []))))))"
7,280,1,"C (CONS (DECC (DIGIT 9) 0) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 1) []))))","CONS (DECC (DIGIT 9) 0) (CONS (DECC (DIGIT 9) 0) (CONS (DECC (DIGIT 9) 0) (CONS (DECC (DIGIT 9) 0) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 1) []))))))","CONS (DECC (DIGIT 9) 0) (CONS (DECC (DIGIT 9) 0) (CONS (DECC (DIGIT 9) 0) (CONS (DECC (DIGIT 9) 0) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 1) []))))))"
8,190,1,"C (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 2) 4) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 3) []))))","CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 2) 4) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 3) []))))))","CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 2) 4) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 3) []))))))"
9,130,1,"C (CONS (DECC (DIGIT 4) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 0) (CONS (DECC (DIGIT 2) 1) (CONS (DIGIT 2) [])))))","CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 0) (CONS (DECC (DIGIT 2) 1) (CONS (DIGIT 2) [])))))))","CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 4) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 0) (CONS (DECC (DIGIT 2) 1) (CONS (DIGIT 2) [])))))))"
