i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 4) [])","CONS (DIGIT 4) (CONS (DIGIT 4) [])","C (CONS (DIGIT 4) [])"
1,3000,0,"C (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 1) []))","CONS (DECC (DIGIT 7) 1) []","CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 1) []))"
2,3000,1,"C (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) []))","CONS (DECC (DIGIT 5) 8) []","CONS (DECC (DIGIT 5) 8) []"
3,2010,1,"C (CONS (DIGIT 5) [])","CONS (DIGIT 5) (CONS (DIGIT 5) [])","CONS (DIGIT 5) (CONS (DIGIT 5) [])"
4,1350,1,"C (CONS (DIGIT 6) [])","CONS (DIGIT 6) (CONS (DIGIT 6) [])","CONS (DIGIT 6) (CONS (DIGIT 6) [])"
5,910,1,"C (CONS (DIGIT 7) [])","CONS (DIGIT 7) (CONS (DIGIT 7) [])","CONS (DIGIT 7) (CONS (DIGIT 7) [])"
6,610,1,"C (CONS (DECC (DIGIT 9) 7) [])","CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 9) 7) [])","CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 9) 7) [])"
7,410,1,"C (CONS (DECC (DIGIT 4) 7) [])","CONS (DECC (DIGIT 4) 7) (CONS (DECC (DIGIT 4) 7) [])","CONS (DECC (DIGIT 4) 7) (CONS (DECC (DIGIT 4) 7) [])"
8,280,0,"C (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) []))","CONS (DECC (DIGIT 1) 3) []","C (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) []))"
9,420,1,"C (CONS (DECC (DIGIT 1) 3) [])","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) [])","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) [])"
10,290,1,"C (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 3) []))","CONS (DECC (DIGIT 5) 3) []","CONS (DECC (DIGIT 5) 3) []"
11,200,1,"C (CONS (DECC (DIGIT 1) 0) [])","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) [])","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) [])"
12,140,1,"C (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) []))","CONS (DECC (DIGIT 9) 6) []","CONS (DECC (DIGIT 9) 6) []"
13,100,1,"C (CONS (DIGIT 7) (CONS (DIGIT 7) []))","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
14,70,1,"C (CONS (DIGIT 3) [])","CONS (DIGIT 3) (CONS (DIGIT 3) [])","CONS (DIGIT 3) (CONS (DIGIT 3) [])"
15,50,1,"C (CONS (DECC (DIGIT 8) 8) [])","CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) [])","CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) [])"
16,40,1,"C (CONS (DIGIT 6) (CONS (DIGIT 6) []))","CONS (DIGIT 6) []","CONS (DIGIT 6) []"
17,30,1,"C (CONS (DECC (DIGIT 7) 3) (CONS (DECC (DIGIT 7) 3) []))","CONS (DECC (DIGIT 7) 3) []","CONS (DECC (DIGIT 7) 3) []"
18,30,1,"C (CONS (DECC (DIGIT 4) 5) [])","CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) [])","CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) [])"
19,30,1,"C (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 2) 0) []))","CONS (DECC (DIGIT 2) 0) []","CONS (DECC (DIGIT 2) 0) []"
