i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 9) 3) (CONS (DIGIT 1) [])))","CONS (DIGIT 9) (CONS (DECC (DIGIT 9) 3) [])","C (CONS (DIGIT 9) (CONS (DECC (DIGIT 9) 3) (CONS (DIGIT 1) [])))"
1,3000,0,"C (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 5) 5) (CONS (DIGIT 7) (CONS (DECC (DIGIT 3) 2) [])))))))","CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 5) 5) (CONS (DIGIT 7) [])))))","CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 5) 4) [])"
2,3000,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 5) 3) (CONS (DIGIT 3) [])))","CONS (DIGIT 5) (CONS (DECC (DIGIT 5) 3) [])","CONS (DIGIT 5) (CONS (DECC (DIGIT 5) 3) [])"
3,2010,1,"C (CONS (DIGIT 7) (CONS (DIGIT 5) (CONS (DIGIT 8) [])))","CONS (DIGIT 7) (CONS (DIGIT 5) [])","CONS (DIGIT 7) (CONS (DIGIT 5) [])"
4,1350,0,"C (CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 7) 5) (CONS (DIGIT 2) (CONS (DIGIT 1) [])))))","CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 7) 5) (CONS (DIGIT 2) [])))","CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 1) 3) [])"
5,2030,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 9) 7) []))))","CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 0) []))","CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 0) []))"
6,1360,1,"C (CONS (DECC (DIGIT 6) 2) (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 2) 2) [])))","CONS (DECC (DIGIT 6) 2) (CONS (DECC (DIGIT 6) 4) [])","CONS (DECC (DIGIT 6) 2) (CONS (DECC (DIGIT 6) 4) [])"
7,910,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 2) []))))","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 7) []))","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 7) []))"
8,610,1,"C (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 9) 8) (CONS (DECC (DIGIT 5) 0) [])))","CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 9) 8) [])","CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 9) 8) [])"
9,410,1,"C (CONS (DIGIT 2) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 2) 1) (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 5) []))))))))","CONS (DIGIT 2) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 2) 1) (CONS (DIGIT 7) []))))))","CONS (DIGIT 2) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 2) 1) (CONS (DIGIT 7) []))))))"
10,280,1,"C (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 5) (CONS (DIGIT 7) (CONS (DIGIT 1) (CONS (DIGIT 6) [])))))))","CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 5) (CONS (DIGIT 7) (CONS (DIGIT 1) [])))))","CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 5) (CONS (DIGIT 7) (CONS (DIGIT 1) [])))))"
