i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 8) (CONS (DIGIT 6) []))","CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 6) []))))))","C (CONS (DIGIT 8) (CONS (DIGIT 6) []))"
1,3000,1,"C (CONS (DIGIT 3) (CONS (DIGIT 8) []))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 8) []))))))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 8) []))))))"
2,2010,1,"C (CONS (DECC (DIGIT 7) 0) [])","CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) [])))))","CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 7) 0) [])))))"
3,1350,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 4) [])))","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 4) [])))))))","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 4) [])))))))"
4,910,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 9) 9) (CONS (DIGIT 7) (CONS (DIGIT 5) (CONS (DIGIT 3) [])))))","CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 9) 9) (CONS (DIGIT 7) (CONS (DIGIT 5) (CONS (DIGIT 3) [])))))))))","CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 9) 9) (CONS (DIGIT 7) (CONS (DIGIT 5) (CONS (DIGIT 3) [])))))))))"
5,610,1,"C (CONS (DECC (DIGIT 4) 8) [])","CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) [])))))","CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 4) 8) [])))))"
6,410,1,"C (CONS (DECC (DIGIT 6) 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 5) 7) [])))))","CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 5) 7) [])))))))))","CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 5) 7) [])))))))))"
7,280,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 4) []))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 4) []))))))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 4) []))))))))"
8,190,1,"C (CONS (DIGIT 0) (CONS (DIGIT 1) (CONS (DIGIT 1) [])))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 1) (CONS (DIGIT 1) [])))))))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 1) (CONS (DIGIT 1) [])))))))"
9,130,1,"C (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 0) []))","CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 0) []))))))","CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 0) []))))))"
