problem,run,order,trial,time,count,lprior,llikelihood,lposterior,trs
"c029",1,4,1,229.79585193,488131,-29.821074745711357,-inf,-inf,".(CONS .(v0_ HEAD)) = TAIL;"
"c029",3,4,7,3624.6943562390006,3098951,-53.76405792374834,-2.3683460195310975,-56.132403943279435,".(C .(.(v0_ .(DIGIT v1_)) .(.(CONS .(DIGIT v2_)) v3_))) = v3_;"
"c029",3,4,1,88.584568671,187877,-21.908991299062848,0,-21.908991299062848,"C = TAIL; FALSE = TRUE;"
"c029",4,4,1,202.507685952,441956,-47.735232767347625,0,-47.735232767347625,"C = .(CONS .(DIGIT .(.(.(IF .(.(EQUAL DIGIT) DIGIT)) 8) 1)));"
"c029",2,4,2,708.9407337120001,1385950,-75.50292101622976,-inf,-inf,"TAIL = C; .(C .(.(CONS .(DIGIT v0_)) .(.(CONS .(DIGIT 4)) NIL))) = NIL; .(C .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 4)) NIL))) = NIL;"
"c029",3,4,2,776.3287425870001,1544921,-63.19223988772483,-0.1107701212253696,-63.3030100089502,".(C NIL) = NIL; .(C .(.(CONS .(DIGIT 7)) .(.(CONS v0_) v1_))) = .(C v1_); .(C v0_) = NIL;"
"c029",2,4,2,784.561070234,1526918,-25.2159106440312,-inf,-inf,".(TAIL .(C v0_)) = NIL;"
"c029",2,4,3,1459.8601286350001,2443687,-85.75445407666331,-23.529717379014087,-109.2841714556774,".(C .(.(CONS .(DIGIT v0_)) .(.(CONS .(DIGIT v1_)) v2_))) = .(TAIL .(.(CONS NAN) .(TAIL .(.(CONS NAN) .(.(.(IF FALSE) NIL) .(.(CONS .(DIGIT v0_)) NIL))))));"
"c029",3,4,1,91.722509531,195032,-39.54674566216338,-inf,-inf,".(CONS .(.(+ v0_) .(DIGIT 6))) = TAIL;"
"c029",3,4,2,647.686570792,1310112,-49.08571017872259,-inf,-inf,".(TAIL v0_) = NIL; .(C .(.(CONS v0_) .(.(CONS .(DIGIT 4)) NIL))) = NIL;"
