problem,run,order,trial,time,count,lprior,llikelihood,lposterior,trs
"c025",0,1,1,0.000023678,1,-1.3862943611198906,-inf,-inf,""
"c025",0,1,1,0.018892141,26,-21.823704952731983,0,-21.823704952731983,"C = .(CONS .(DIGIT 2));"
"c025",0,1,1,0.029641796,59,-11.57488104387042,0,-11.57488104387042,"C = TAIL;"
"c025",0,1,2,601.4364623050001,1052111,-1.6739764335716716,-inf,-inf,""
"c025",0,1,2,601.4507316950001,1052137,-11.994223100827782,-0.1264111644406738,-12.120634265268455,"C = TAIL;"
"c025",0,1,2,601.492509592,1052193,-11.994223096317477,-0.1264111644406738,-12.12063426075815,"C = TAIL;"
"c025",0,1,2,601.5056600170001,1052218,-11.99422146107501,-0.1264111644406738,-12.120632625515684,"C = TAIL;"
"c025",0,1,2,601.5240069150001,1052254,-11.994213262316778,-0.1264111644406738,-12.120624426757452,"C = TAIL;"
"c025",0,1,2,601.6502651840001,1052459,-11.897733726484866,-0.1264111644406738,-12.02414489092554,"C = TAIL;"
"c025",0,1,2,606.5798012910001,1057501,-11.867534205872914,-0.1264111644406738,-11.993945370313588,"C = TAIL;"
"c025",0,1,3,1200.738481453,1505491,-1.6739764335716716,-inf,-inf,""
"c025",0,1,3,1200.864319105,1505495,-42.21903124824171,-14.833367413042074,-57.05239866128379,".(C v0_) = .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 5)) NIL)));"
"c025",0,1,3,1200.8722523200001,1505503,-11.994223093925992,-10.930105639793746,-22.92432873371974,"C = TAIL;"
"c025",0,1,3,1200.888303898,1505522,-11.994221428922886,-10.930105639793746,-22.924327068716632,"C = TAIL;"
"c025",0,1,3,1213.4740028380002,1512694,-11.994066789164567,-10.930105639793746,-22.924172428958315,"C = TAIL;"
"c025",0,1,3,1274.713150232,1544405,-11.994047251923654,-10.930105639793746,-22.924152891717398,"C = TAIL;"
"c025",0,1,4,1800.624973932,1788920,-1.6739764335716716,-inf,-inf,""
"c025",0,1,4,1800.773568168,1788929,-42.27981283773764,-0.7153646982406725,-42.99517753597831,".(C .(.(CONS .(DIGIT v0_)) .(.(CONS .(DIGIT v1_)) v2_))) = .(.(CONS .(DIGIT v0_)) v2_);"
"c025",0,1,4,1808.189120446,1790674,-41.874347729629505,-0.7153646982406725,-42.589712427870175,".(C .(.(CONS .(DIGIT v0_)) .(.(CONS .(DIGIT v1_)) v2_))) = .(.(CONS .(DIGIT v0_)) v2_);"
"c025",0,1,4,1808.323322593,1790709,-38.89286989971747,-0.7153646982406725,-39.60823459795814,".(C .(v0_ .(.(CONS .(DIGIT v1_)) v2_))) = .(v0_ v2_);"
"c025",0,1,4,1808.356393493,1790716,-38.482798935812674,-0.7153646982406725,-39.198163634053344,".(C .(.(CONS v0_) .(.(CONS .(DIGIT v1_)) v2_))) = .(.(CONS v0_) v2_);"
"c025",0,1,4,1808.375161394,1790720,-38.231484508703005,-0.7153646982406725,-38.946849206943675,".(C .(.(CONS v0_) .(.(CONS .(DIGIT v1_)) v2_))) = .(.(CONS v0_) v2_);"
"c025",0,1,4,1808.8945703240001,1790852,-38.12611596248187,-0.7153646982406725,-38.84148066072254,".(C .(.(CONS v0_) .(.(CONS v1_) v2_))) = .(.(CONS v0_) v2_);"
