# c008: c xs = (cons (head xs) nil)
0,8;0
42,80,50,90,0,73,5,7,70,10;42
41,29,2,42,9,9,4,70,9;41
5,38;5
96,0,67,2,8,97,92;96
32,10,3,33,8,9,4,11,12,43;32
10,39,49,6,18,22,17,30,9;10
0,84,0,75;0
84,47;84
7,98,91,1,90,99,8;7
89,6,85,5,82,1,38;89
10,5,2,97,9,78,7,70,78;10
72,6,4,51,8,50;72
10,11,1,48,5,3,15,59;10
61,34,1,17,6;61
3,51,10,29,88,5,81;3
6,10,0,4,48,5,4,7,4,4;6
0,46,89,5;0
8,5,80,3,17,25,64;8
5,12,85,2,6,54,38,48,3;5
10,0,4,0,5,7,67,5,2;10
0;0
2,5,8,4,4,0,3;2
2,3,83,74,3;2
8,0,53,3,9;8
79,51,0,26;79
33,4,2,76,54,76,63,1,19,16;33
97,4,37;97
2,17,32;2
4,90,9,0,96,48,92,34,80;4
82,7,9,66,97,60,7,1,4,49;82
10,37,65,46,13,88,88,4,75;10
5,8,6,25;5
0,68,81,4;0
5,94,62,4,82;5
2,62,3,44,91;2
79,51;79
8,7,4,8,0,73,33,8;8
3,34,3,13,14,10,46,73,0;3
31,0,24,3,47,8,99,41;31
54,55,13,18,79,91,2;54
9,91,38,5,7,36,0,50,3,6;9
43,0,8;43
2,9,3,10,27,56,10,6;2
10,96;10
74,71,8,9,80,71,1,10;74
7,6,70,47,1,91,6,4;7
36,56,9,1,14,4;36
7,3,34,8,9,7,8,57;7
8,51;8
