i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 3) 4) (CONS (DIGIT 2) [])))","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) []))","C (CONS (DIGIT 7) (CONS (DECC (DIGIT 3) 4) (CONS (DIGIT 2) [])))"
1,3000,0,"C (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 2) 7) [])))))))))","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 2) 7) []))))))))","CONS (DECC (DIGIT 2) 7) (CONS (DECC (DIGIT 2) 7) (CONS (DECC (DIGIT 2) 7) []))"
2,3000,0,"C (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 8) (CONS (DIGIT 9) [])))","CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DIGIT 9) []))","C (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 8) (CONS (DIGIT 9) [])))"
3,3000,1,"C (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 4) 7) (CONS (DIGIT 5) (CONS (DECC (DIGIT 7) 8) (CONS (DIGIT 7) (CONS (DIGIT 1) []))))))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 7) 8) (CONS (DIGIT 7) (CONS (DIGIT 1) [])))))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 7) 8) (CONS (DIGIT 7) (CONS (DIGIT 1) [])))))"
4,2010,1,"C (CONS (DECC (DIGIT 6) 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 3) 6) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 7) [])))))","CONS (DECC (DIGIT 3) 6) (CONS (DECC (DIGIT 3) 6) (CONS (DECC (DIGIT 3) 6) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 7) []))))","CONS (DECC (DIGIT 3) 6) (CONS (DECC (DIGIT 3) 6) (CONS (DECC (DIGIT 3) 6) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 7) []))))"
5,1350,1,"C (CONS (DIGIT 7) (CONS (DIGIT 1) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 4) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 9) [])))))))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 4) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 9) []))))))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 4) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 9) []))))))"
6,910,1,"C (CONS (DIGIT 6) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DECC (DIGIT 4) 3) [])))))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DECC (DIGIT 4) 3) []))))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DECC (DIGIT 4) 3) []))))"
7,610,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 3) (CONS (DIGIT 5) (CONS (DIGIT 6) [])))))","CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 8) 3) (CONS (DIGIT 5) (CONS (DIGIT 6) []))))","CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 8) 3) (CONS (DIGIT 5) (CONS (DIGIT 6) []))))"
8,410,1,"C (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 8) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 8) [])))))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 8) []))))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 8) []))))"
9,280,1,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 1) (CONS (DIGIT 4) []))))))))))","CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 1) (CONS (DIGIT 4) [])))))))))","CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 1) (CONS (DIGIT 4) [])))))))))"
