i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 7) [])","CONS (DIGIT 7) (CONS (DIGIT 7) [])","C (CONS (DIGIT 7) [])"
1,3000,0,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 5) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 7) []))))","CONS (DIGIT 7) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 5) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 7) []))))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 5) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 7) []))))"
2,3000,1,"C (CONS (DIGIT 6) (CONS (DIGIT 5) (CONS (DECC (DIGIT 9) 3) [])))","CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 5) (CONS (DECC (DIGIT 9) 3) [])))","CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 5) (CONS (DECC (DIGIT 9) 3) [])))"
3,2010,1,"C (CONS (DIGIT 4) (CONS (DIGIT 0) []))","CONS (DIGIT 7) (CONS (DIGIT 4) (CONS (DIGIT 0) []))","CONS (DIGIT 7) (CONS (DIGIT 4) (CONS (DIGIT 0) []))"
4,1350,1,"C (CONS (DECC (DIGIT 6) 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 3) [])))","CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 3) [])))","CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 3) [])))"
5,910,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 2) (CONS (DIGIT 1) (CONS (DECC (DIGIT 9) 2) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 7) 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 6) 9) [])))))))))","CONS (DIGIT 7) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 2) (CONS (DIGIT 1) (CONS (DECC (DIGIT 9) 2) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 7) 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 6) 9) [])))))))))","CONS (DIGIT 7) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 2) (CONS (DIGIT 1) (CONS (DECC (DIGIT 9) 2) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 7) 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 6) 9) [])))))))))"
6,610,1,"C (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 7) 6) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 9) (CONS (DECC (DIGIT 2) 5) (CONS (DECC (DIGIT 8) 6) (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 6) 7) [])))))))))","CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 7) 6) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 9) (CONS (DECC (DIGIT 2) 5) (CONS (DECC (DIGIT 8) 6) (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 6) 7) [])))))))))","CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 7) 6) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 9) (CONS (DECC (DIGIT 2) 5) (CONS (DECC (DIGIT 8) 6) (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 6) 7) [])))))))))"
7,410,1,"C (CONS (DIGIT 6) (CONS (DIGIT 1) (CONS (DIGIT 0) (CONS (DECC (DIGIT 9) 4) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 7) 6) []))))))","CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 1) (CONS (DIGIT 0) (CONS (DECC (DIGIT 9) 4) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 7) 6) []))))))","CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 1) (CONS (DIGIT 0) (CONS (DECC (DIGIT 9) 4) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 7) 6) []))))))"
8,280,1,"C (CONS (DIGIT 3) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 6) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 3) 4) (CONS (DECC (DIGIT 1) 0) [])))))))))","CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 6) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 3) 4) (CONS (DECC (DIGIT 1) 0) [])))))))))","CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 6) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 3) 4) (CONS (DECC (DIGIT 1) 0) [])))))))))"
9,190,1,"C []","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
