n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) []","[]"
1,5000,0,"C (CONS (DIGIT 0) (CONS (DIGIT 5) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 9) [])))))))))","CONS (DECC (DIGIT 3) 9) []","CONS (DIGIT 0) (CONS (DIGIT 5) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 9) []))))))))"
2,7500,1,"C (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 9) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DIGIT 4) [])))))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
3,5010,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DIGIT 9) [])))))","CONS (DIGIT 9) []","CONS (DIGIT 9) []"
4,3350,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 6) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 6) [])))))))))","CONS (DIGIT 6) []","CONS (DIGIT 6) []"
5,2240,1,"C (CONS (DIGIT 4) [])","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
6,1500,1,"C (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 7) 9) [])))))))","CONS (DECC (DIGIT 7) 9) []","CONS (DECC (DIGIT 7) 9) []"
7,1010,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 4) []))","CONS (DECC (DIGIT 4) 4) []","CONS (DECC (DIGIT 4) 4) []"
8,680,1,"C (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 3) 1) [])))","CONS (DECC (DIGIT 3) 1) []","CONS (DECC (DIGIT 3) 1) []"
9,460,1,"C (CONS (DECC (DIGIT 5) 5) [])","CONS (DECC (DIGIT 5) 5) []","CONS (DECC (DIGIT 5) 5) []"
10,310,1,"C (CONS (DIGIT 7) [])","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
11,210,1,"C (CONS (DECC (DIGIT 7) 5) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 3) 2) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 1) 7) (CONS (DIGIT 3) (CONS (DIGIT 9) (CONS (DIGIT 2) []))))))))","CONS (DIGIT 2) []","CONS (DIGIT 2) []"
12,150,1,"C (CONS (DIGIT 6) [])","CONS (DIGIT 6) []","CONS (DIGIT 6) []"
13,110,1,"C (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 8) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 1) 5) [])))))))))","CONS (DECC (DIGIT 1) 5) []","CONS (DECC (DIGIT 1) 5) []"
14,80,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 7) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 6) (CONS (DIGIT 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 1) []))))))))","CONS (DECC (DIGIT 2) 1) []","CONS (DECC (DIGIT 2) 1) []"
15,60,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 3) 5) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 8) (CONS (DIGIT 3) []))))))","CONS (DIGIT 3) []","CONS (DIGIT 3) []"
16,50,1,"C (CONS (DIGIT 5) (CONS (DIGIT 7) []))","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
17,40,1,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 2) (CONS (DIGIT 5) (CONS (DIGIT 0) (CONS (DIGIT 6) (CONS (DECC (DIGIT 8) 8) (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 1) 0) []))))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
18,30,1,"C (CONS (DIGIT 5) (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 0) (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 7) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) [])))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
19,30,1,"C (CONS (DIGIT 5) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 2) 7) (CONS (DIGIT 5) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 8) [])))))))))","CONS (DIGIT 8) []","CONS (DIGIT 8) []"
