i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DECC (DIGIT 6) 8) [])","CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 6) 8) [])","C (CONS (DECC (DIGIT 6) 8) [])"
1,3000,0,"C (CONS (DIGIT 4) (CONS (DIGIT 4) []))","CONS (DIGIT 4) []","CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) []))"
2,3000,0,"C (CONS (DECC (DIGIT 8) 1) [])","CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 8) 1) [])","[]"
3,3000,1,"C (CONS (DIGIT 0) (CONS (DIGIT 0) []))","CONS (DIGIT 0) []","CONS (DIGIT 0) []"
4,2010,1,"C (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 3) []))","CONS (DECC (DIGIT 5) 3) []","CONS (DECC (DIGIT 5) 3) []"
5,1350,1,"C (CONS (DECC (DIGIT 4) 3) (CONS (DECC (DIGIT 4) 3) []))","CONS (DECC (DIGIT 4) 3) []","CONS (DECC (DIGIT 4) 3) []"
6,910,1,"C (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 2) 0) []))","CONS (DECC (DIGIT 2) 0) []","CONS (DECC (DIGIT 2) 0) []"
7,610,1,"C (CONS (DECC (DIGIT 6) 9) [])","CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 6) 9) [])","CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 6) 9) [])"
8,410,1,"C (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) []))","CONS (DECC (DIGIT 5) 0) []","CONS (DECC (DIGIT 5) 0) []"
9,280,1,"C (CONS (DECC (DIGIT 7) 3) (CONS (DECC (DIGIT 7) 3) []))","CONS (DECC (DIGIT 7) 3) []","CONS (DECC (DIGIT 7) 3) []"
10,190,1,"C (CONS (DIGIT 9) (CONS (DIGIT 9) []))","CONS (DIGIT 9) []","CONS (DIGIT 9) []"
11,130,1,"C (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 1) []))","CONS (DECC (DIGIT 7) 1) []","CONS (DECC (DIGIT 7) 1) []"
12,90,1,"C (CONS (DECC (DIGIT 8) 8) [])","CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) [])","CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) [])"
13,70,1,"C (CONS (DIGIT 7) [])","CONS (DIGIT 7) (CONS (DIGIT 7) [])","CONS (DIGIT 7) (CONS (DIGIT 7) [])"
14,50,1,"C (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) []))","CONS (DECC (DIGIT 9) 6) []","CONS (DECC (DIGIT 9) 6) []"
15,40,1,"C (CONS (DECC (DIGIT 8) 7) [])","CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 8) 7) [])","CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 8) 7) [])"
16,30,1,"C (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) []))","CONS (DECC (DIGIT 8) 8) []","CONS (DECC (DIGIT 8) 8) []"
17,30,1,"C (CONS (DIGIT 4) [])","CONS (DIGIT 4) (CONS (DIGIT 4) [])","CONS (DIGIT 4) (CONS (DIGIT 4) [])"
18,30,1,"C (CONS (DIGIT 3) [])","CONS (DIGIT 3) (CONS (DIGIT 3) [])","CONS (DIGIT 3) (CONS (DIGIT 3) [])"
19,30,1,"C (CONS (DIGIT 5) (CONS (DIGIT 5) []))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
