i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 5) 5) (CONS (DIGIT 7) (CONS (DECC (DIGIT 3) 2) [])))))))","CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 5) 5) (CONS (DIGIT 7) [])))))","C (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 5) 5) (CONS (DIGIT 7) (CONS (DECC (DIGIT 3) 2) [])))))))"
1,3000,1,"C (CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 8) 6) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 6) (CONS (DECC (DIGIT 6) 3) (CONS (DIGIT 0) (CONS (DIGIT 6) []))))))))","CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 8) 6) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 6) (CONS (DECC (DIGIT 6) 3) (CONS (DIGIT 0) []))))))","CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 8) 6) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 6) (CONS (DECC (DIGIT 6) 3) (CONS (DIGIT 0) []))))))"
2,2010,1,"C (CONS (DIGIT 9) (CONS (DIGIT 5) (CONS (DIGIT 6) (CONS (DIGIT 3) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 8) (CONS (DIGIT 6) []))))))))","CONS (DIGIT 9) (CONS (DIGIT 5) (CONS (DIGIT 6) (CONS (DIGIT 3) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 8) []))))))","CONS (DIGIT 9) (CONS (DIGIT 5) (CONS (DIGIT 6) (CONS (DIGIT 3) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 8) []))))))"
3,1350,1,"C (CONS (DIGIT 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 7) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 4) [])))))))))","CONS (DIGIT 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 7) (CONS (DIGIT 0) [])))))))","CONS (DIGIT 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 7) (CONS (DIGIT 0) [])))))))"
4,910,1,"C (CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 5) (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 1) 6) (CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 9) (CONS (DIGIT 7) []))))))))))","CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 5) (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 1) 6) (CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 9) []))))))))","CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 5) (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 1) 6) (CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 9) []))))))))"
5,610,1,"C (CONS (DIGIT 7) (CONS (DIGIT 5) (CONS (DIGIT 8) [])))","CONS (DIGIT 7) (CONS (DIGIT 5) [])","CONS (DIGIT 7) (CONS (DIGIT 5) [])"
6,410,1,"C (CONS (DECC (DIGIT 4) 2) [])","[]","[]"
7,280,1,"C (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 0) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 9) [])))))","CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 0) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) [])))","CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 0) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) [])))"
8,190,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 2) []))))","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 7) []))","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 7) []))"
9,130,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 5) 3) (CONS (DIGIT 3) [])))","CONS (DIGIT 5) (CONS (DECC (DIGIT 5) 3) [])","CONS (DIGIT 5) (CONS (DECC (DIGIT 5) 3) [])"
