i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 4) 1) []))","CONS (DECC (DIGIT 4) 1) []","C (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 4) 1) []))"
1,3000,0,"C (CONS (DECC (DIGIT 6) 9) [])","CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 6) 9) [])","[]"
2,3000,1,"C (CONS (DIGIT 0) (CONS (DIGIT 0) []))","CONS (DIGIT 0) []","CONS (DIGIT 0) []"
3,2010,1,"C (CONS (DECC (DIGIT 1) 7) [])","CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 1) 7) [])","CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 1) 7) [])"
4,1350,1,"C (CONS (DIGIT 5) (CONS (DIGIT 5) []))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
5,910,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) []))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
6,610,1,"C (CONS (DIGIT 6) [])","CONS (DIGIT 6) (CONS (DIGIT 6) [])","CONS (DIGIT 6) (CONS (DIGIT 6) [])"
7,410,1,"C (CONS (DECC (DIGIT 6) 8) [])","CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 6) 8) [])","CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 6) 8) [])"
8,280,1,"C (CONS (DECC (DIGIT 4) 7) [])","CONS (DECC (DIGIT 4) 7) (CONS (DECC (DIGIT 4) 7) [])","CONS (DECC (DIGIT 4) 7) (CONS (DECC (DIGIT 4) 7) [])"
9,190,1,"C (CONS (DIGIT 6) (CONS (DIGIT 6) []))","CONS (DIGIT 6) []","CONS (DIGIT 6) []"
10,130,1,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) [])"
11,90,1,"C (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 5) 5) []))","CONS (DECC (DIGIT 5) 5) []","CONS (DECC (DIGIT 5) 5) []"
12,70,1,"C (CONS (DECC (DIGIT 8) 9) [])","CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 8) 9) [])","CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 8) 9) [])"
13,50,1,"C (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) []))","CONS (DECC (DIGIT 1) 3) []","CONS (DECC (DIGIT 1) 3) []"
14,40,1,"C (CONS (DECC (DIGIT 8) 7) [])","CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 8) 7) [])","CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 8) 7) [])"
15,30,1,"C (CONS (DECC (DIGIT 1) 3) [])","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) [])","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) [])"
16,30,1,"C (CONS (DECC (DIGIT 7) 3) (CONS (DECC (DIGIT 7) 3) []))","CONS (DECC (DIGIT 7) 3) []","CONS (DECC (DIGIT 7) 3) []"
17,30,1,"C (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 1) []))","CONS (DECC (DIGIT 7) 1) []","CONS (DECC (DIGIT 7) 1) []"
18,30,1,"C (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 2) 0) []))","CONS (DECC (DIGIT 2) 0) []","CONS (DECC (DIGIT 2) 0) []"
19,30,1,"C (CONS (DECC (DIGIT 7) 7) [])","CONS (DECC (DIGIT 7) 7) (CONS (DECC (DIGIT 7) 7) [])","CONS (DECC (DIGIT 7) 7) (CONS (DECC (DIGIT 7) 7) [])"
