n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DECC (DIGIT 1) 0) [])","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 1) 0) [])))))","[]"
1,5000,0,"C []","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) []))))","C []"
2,7500,1,"C (CONS (DECC (DIGIT 6) 4) [])","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 4) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 4) [])))))"
3,5010,1,"C (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 5) (CONS (DIGIT 9) [])))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 5) (CONS (DIGIT 9) [])))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 5) (CONS (DIGIT 9) [])))))))"
4,3350,1,"C (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 2) [])))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 2) [])))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 2) [])))))))"
5,2240,1,"C (CONS (DECC (DIGIT 7) 2) (CONS (DIGIT 9) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 6) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 7) 2) (CONS (DIGIT 9) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 6) [])))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 7) 2) (CONS (DIGIT 9) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 6) [])))))))))"
6,1500,1,"C (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 7) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 7) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 7) []))))))))"
7,1010,1,"C (CONS (DECC (DIGIT 8) 2) (CONS (DIGIT 2) []))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 8) 2) (CONS (DIGIT 2) []))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 8) 2) (CONS (DIGIT 2) []))))))"
8,680,1,"C (CONS (DECC (DIGIT 4) 4) [])","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 4) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 4) [])))))"
9,460,1,"C (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 2) (CONS (DIGIT 6) (CONS (DIGIT 5) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 2) (CONS (DIGIT 6) (CONS (DIGIT 5) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 2) (CONS (DIGIT 6) (CONS (DIGIT 5) []))))))))"
