n,n_seen,accuracy,input,output,prediction
0,10,1,"C (CONS (DECC (DIGIT 8) 1) [])","[]","[]"
1,5000,0,"C (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 7) 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 9) []))))))))","CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 7) 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 9) []))))))","[]"
2,7500,1,"C (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 4) 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 9) 5) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 6) [])))))))))","CONS (DECC (DIGIT 4) 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 9) 5) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 6) [])))))))","CONS (DECC (DIGIT 4) 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 9) 5) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 6) [])))))))"
3,5010,1,"C (CONS (DIGIT 2) (CONS (DIGIT 7) (CONS (DIGIT 4) (CONS (DIGIT 2) (CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DIGIT 5) [])))))))))","CONS (DIGIT 7) (CONS (DIGIT 4) (CONS (DIGIT 2) (CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DIGIT 5) [])))))))","CONS (DIGIT 7) (CONS (DIGIT 4) (CONS (DIGIT 2) (CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DIGIT 5) [])))))))"
4,3350,1,"C (CONS (DIGIT 0) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 3) (CONS (DIGIT 1) []))))))))))","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 3) (CONS (DIGIT 1) []))))))))","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 3) (CONS (DIGIT 1) []))))))))"
5,2240,1,"C (CONS (DECC (DIGIT 5) 5) (CONS (DIGIT 9) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 3) 9) (CONS (DIGIT 8) [])))))","CONS (DIGIT 9) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 3) 9) (CONS (DIGIT 8) [])))","CONS (DIGIT 9) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 3) 9) (CONS (DIGIT 8) [])))"
6,1500,1,"C (CONS (DECC (DIGIT 1) 1) (CONS (DIGIT 1) (CONS (DIGIT 9) [])))","CONS (DIGIT 1) (CONS (DIGIT 9) [])","CONS (DIGIT 1) (CONS (DIGIT 9) [])"
7,1010,1,"C (CONS (DIGIT 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 3) 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 8) 3) (CONS (DIGIT 6) (CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 5) [])))))))))","CONS (DIGIT 9) (CONS (DECC (DIGIT 3) 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 8) 3) (CONS (DIGIT 6) (CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 5) [])))))))","CONS (DIGIT 9) (CONS (DECC (DIGIT 3) 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 8) 3) (CONS (DIGIT 6) (CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 5) [])))))))"
8,680,1,"C (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 1) 3) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 4) []))))","CONS (DECC (DIGIT 1) 3) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 4) []))","CONS (DECC (DIGIT 1) 3) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 4) []))"
9,460,1,"C (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 5) 8) []))))","CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 5) 8) []))","CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 5) 8) []))"
