n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 5) 5) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 5) 5) [])))))))))","[]"
1,5000,0,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 3) 8) []))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 5) (CONS (DECC (DIGIT 3) 8) []))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 5) (CONS (DECC (DIGIT 3) 8) []))))))"
2,7500,0,"C (CONS (DECC (DIGIT 6) 6) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 9) 4) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 6) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 9) 4) [])))))))))","C (CONS (DECC (DIGIT 6) 6) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 9) 4) [])))))"
3,11250,1,"C (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 9) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 9) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 9) []))))))))"
4,7510,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 7) 2) (CONS (DECC (DIGIT 7) 9) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 7) 2) (CONS (DECC (DIGIT 7) 9) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 7) 2) (CONS (DECC (DIGIT 7) 9) []))))))))"
5,5010,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 6) 0) (CONS (DECC (DIGIT 8) 2) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 6) 0) (CONS (DECC (DIGIT 8) 2) [])))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 6) 0) (CONS (DECC (DIGIT 8) 2) [])))))))))"
6,3350,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) [])))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) [])))))))))"
7,2240,1,"C (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 2) (CONS (DIGIT 6) (CONS (DIGIT 5) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 2) (CONS (DIGIT 6) (CONS (DIGIT 5) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 2) (CONS (DIGIT 6) (CONS (DIGIT 5) []))))))))"
8,1500,1,"C (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 7) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 7) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 7) []))))))))"
9,1010,1,"C (CONS (DIGIT 7) (CONS (DIGIT 0) []))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 7) (CONS (DIGIT 0) []))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 7) (CONS (DIGIT 0) []))))))"
