n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 1) []))","CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 1) []))","CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 1) [])"
1,5000,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 8) 6) (CONS (DIGIT 3) (CONS (DIGIT 1) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 7) (CONS (DIGIT 4) [])))))))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 8) 6) (CONS (DIGIT 3) (CONS (DIGIT 1) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 7) (CONS (DIGIT 4) [])))))))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 8) 6) (CONS (DIGIT 3) (CONS (DIGIT 1) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 7) (CONS (DIGIT 4) [])))))))"
2,3340,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 4) 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 2) [])))))","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 4) 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 2) [])))))","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 4) 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 2) [])))))"
3,2230,1,"C (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 0) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 6) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 2) 2) [])))))))))","CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 0) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 6) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 2) 2) [])))))))))","CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 1) (CONS (DIGIT 0) (CONS (DIGIT 7) (CONS (DECC (DIGIT 7) 6) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 7) 0) (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 2) 2) [])))))))))"
4,1490,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 2) 7) (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 8) 4) []))))))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 2) 7) (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 8) 4) []))))))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 2) 7) (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 8) 4) []))))))))"
5,1000,1,"C (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 9) (CONS (DIGIT 7) (CONS (DIGIT 9) (CONS (DIGIT 3) (CONS (DIGIT 6) (CONS (DIGIT 5) (CONS (DIGIT 9) []))))))))","CONS (DECC (DIGIT 6) 2) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 9) (CONS (DIGIT 7) (CONS (DIGIT 9) (CONS (DIGIT 3) (CONS (DIGIT 6) (CONS (DIGIT 5) (CONS (DIGIT 9) []))))))))","CONS (DECC (DIGIT 6) 2) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 9) (CONS (DIGIT 7) (CONS (DIGIT 9) (CONS (DIGIT 3) (CONS (DIGIT 6) (CONS (DIGIT 5) (CONS (DIGIT 9) []))))))))"
6,670,1,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 1) (CONS (DECC (DIGIT 3) 1) [])))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 1) (CONS (DECC (DIGIT 3) 1) [])))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 1) (CONS (DECC (DIGIT 3) 1) [])))"
7,450,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 8) 3) [])))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 8) 3) [])))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 8) 3) [])))"
8,310,1,"C (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 6) [])))))))))","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 6) [])))))))))","CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 6) [])))))))))"
9,210,1,"C (CONS (DECC (DIGIT 1) 9) [])","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) [])","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) [])"
