i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 4) [])","CONS (DIGIT 4) (CONS (DIGIT 4) [])","C (CONS (DIGIT 4) [])"
1,3000,0,"C (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 5) 5) []))","CONS (DECC (DIGIT 5) 5) []","CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 5) 5) []))"
2,3000,1,"C (CONS (DECC (DIGIT 6) 7) [])","CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 6) 7) [])","CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 6) 7) [])"
3,2010,1,"C (CONS (DECC (DIGIT 8) 7) [])","CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 8) 7) [])","CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 8) 7) [])"
4,1350,0,"C (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 4) 1) []))","CONS (DECC (DIGIT 4) 1) []","CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 4) 1) []))"
5,2030,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) []))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
6,1360,1,"C (CONS (DIGIT 5) (CONS (DIGIT 5) []))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
7,910,1,"C (CONS (DECC (DIGIT 1) 0) [])","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) [])","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) [])"
8,610,1,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) [])"
9,410,1,"C (CONS (DECC (DIGIT 3) 8) [])","CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 3) 8) [])","CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 3) 8) [])"
10,280,1,"C (CONS (DIGIT 7) [])","CONS (DIGIT 7) (CONS (DIGIT 7) [])","CONS (DIGIT 7) (CONS (DIGIT 7) [])"
11,190,1,"C (CONS (DIGIT 3) [])","CONS (DIGIT 3) (CONS (DIGIT 3) [])","CONS (DIGIT 3) (CONS (DIGIT 3) [])"
12,130,1,"C (CONS (DECC (DIGIT 7) 7) [])","CONS (DECC (DIGIT 7) 7) (CONS (DECC (DIGIT 7) 7) [])","CONS (DECC (DIGIT 7) 7) (CONS (DECC (DIGIT 7) 7) [])"
13,90,1,"C (CONS (DIGIT 4) (CONS (DIGIT 4) []))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
14,70,1,"C (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 3) []))","CONS (DECC (DIGIT 5) 3) []","CONS (DECC (DIGIT 5) 3) []"
15,50,1,"C (CONS (DECC (DIGIT 1) 2) (CONS (DECC (DIGIT 1) 2) []))","CONS (DECC (DIGIT 1) 2) []","CONS (DECC (DIGIT 1) 2) []"
16,40,1,"C (CONS (DECC (DIGIT 6) 9) [])","CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 6) 9) [])","CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 6) 9) [])"
17,30,1,"C (CONS (DIGIT 1) (CONS (DIGIT 1) []))","CONS (DIGIT 1) []","CONS (DIGIT 1) []"
18,30,1,"C (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) []))","CONS (DECC (DIGIT 8) 8) []","CONS (DECC (DIGIT 8) 8) []"
19,30,1,"C (CONS (DECC (DIGIT 6) 8) [])","CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 6) 8) [])","CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 6) 8) [])"
