n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 9) (CONS (DIGIT 7) []))))))","CONS (DIGIT 7) []","[]"
1,5000,0,"C (CONS (DIGIT 5) (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 0) (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 7) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) [])))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DIGIT 7) []"
2,7500,0,"C (CONS (DIGIT 4) [])","CONS (DIGIT 4) []","C (CONS (DIGIT 4) [])"
3,11250,1,"C (CONS (DIGIT 6) [])","CONS (DIGIT 6) []","CONS (DIGIT 6) []"
4,7510,1,"C (CONS (DIGIT 5) [])","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
5,5010,1,"C (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 7) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 2) (CONS (DIGIT 8) (CONS (DIGIT 0) [])))))))))","CONS (DIGIT 0) []","CONS (DIGIT 0) []"
6,3350,1,"C (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 7) 9) [])))))))","CONS (DECC (DIGIT 7) 9) []","CONS (DECC (DIGIT 7) 9) []"
7,2240,1,"C (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 3) 1) [])))","CONS (DECC (DIGIT 3) 1) []","CONS (DECC (DIGIT 3) 1) []"
8,1500,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 8) 5) (CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 3) 5) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 2) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 5) [])))))))))","CONS (DECC (DIGIT 1) 5) []","CONS (DECC (DIGIT 1) 5) []"
9,1010,1,"C (CONS (DIGIT 8) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 6) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 4) 5) []))))))))))","CONS (DECC (DIGIT 4) 5) []","CONS (DECC (DIGIT 4) 5) []"
10,680,1,"C (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 9) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DIGIT 4) [])))))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
11,460,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 7) 5) (CONS (DIGIT 6) (CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 5) 1) []))))))))","CONS (DECC (DIGIT 5) 1) []","CONS (DECC (DIGIT 5) 1) []"
12,310,1,"C (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 9) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 5) []))))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
13,210,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 3) 5) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 8) (CONS (DIGIT 3) []))))))","CONS (DIGIT 3) []","CONS (DIGIT 3) []"
14,150,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 4) []))","CONS (DECC (DIGIT 4) 4) []","CONS (DECC (DIGIT 4) 4) []"
15,110,1,"C (CONS (DECC (DIGIT 8) 5) (CONS (DECC (DIGIT 9) 5) (CONS (DIGIT 6) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 3) 3) []))))))","CONS (DECC (DIGIT 3) 3) []","CONS (DECC (DIGIT 3) 3) []"
16,80,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DIGIT 9) [])))))","CONS (DIGIT 9) []","CONS (DIGIT 9) []"
17,60,1,"C (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 4) (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 6) 3) []))))))))","CONS (DECC (DIGIT 6) 3) []","CONS (DECC (DIGIT 6) 3) []"
18,50,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 7) 7) (CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 9) [])))))","CONS (DECC (DIGIT 2) 9) []","CONS (DECC (DIGIT 2) 9) []"
19,40,1,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) []","CONS (DIGIT 2) []"
