n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DECC (DIGIT 1) 6) [])","CONS (DECC (DIGIT 1) 6) (CONS (DECC (DIGIT 1) 6) [])","CONS (DECC (DIGIT 1) 6) []"
1,5000,0,"C (CONS (DIGIT 4) (CONS (DIGIT 4) []))","CONS (DIGIT 4) []","C (CONS (DIGIT 4) (CONS (DIGIT 4) []))"
2,7500,1,"C (CONS (DIGIT 9) (CONS (DIGIT 9) []))","CONS (DIGIT 9) []","CONS (DIGIT 9) []"
3,5010,0,"C (CONS (DECC (DIGIT 8) 8) [])","CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) [])","[]"
4,7520,1,"C (CONS (DECC (DIGIT 6) 9) [])","CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 6) 9) [])","CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 6) 9) [])"
5,5020,1,"C (CONS (DIGIT 3) [])","CONS (DIGIT 3) (CONS (DIGIT 3) [])","CONS (DIGIT 3) (CONS (DIGIT 3) [])"
6,3350,1,"C (CONS (DECC (DIGIT 4) 5) [])","CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) [])","CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) [])"
7,2240,1,"C (CONS (DIGIT 2) (CONS (DIGIT 2) []))","CONS (DIGIT 2) []","CONS (DIGIT 2) []"
8,1500,1,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) [])"
9,1010,1,"C (CONS (DECC (DIGIT 7) 7) [])","CONS (DECC (DIGIT 7) 7) (CONS (DECC (DIGIT 7) 7) [])","CONS (DECC (DIGIT 7) 7) (CONS (DECC (DIGIT 7) 7) [])"
10,680,1,"C (CONS (DIGIT 0) (CONS (DIGIT 0) []))","CONS (DIGIT 0) []","CONS (DIGIT 0) []"
11,460,1,"C (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 3) []))","CONS (DECC (DIGIT 5) 3) []","CONS (DECC (DIGIT 5) 3) []"
12,310,1,"C (CONS (DIGIT 7) [])","CONS (DIGIT 7) (CONS (DIGIT 7) [])","CONS (DIGIT 7) (CONS (DIGIT 7) [])"
13,210,1,"C (CONS (DIGIT 5) (CONS (DIGIT 5) []))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
14,150,1,"C (CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) []))","CONS (DECC (DIGIT 8) 8) []","CONS (DECC (DIGIT 8) 8) []"
15,110,1,"C (CONS (DECC (DIGIT 6) 7) [])","CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 6) 7) [])","CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 6) 7) [])"
16,80,1,"C (CONS (DECC (DIGIT 7) 3) (CONS (DECC (DIGIT 7) 3) []))","CONS (DECC (DIGIT 7) 3) []","CONS (DECC (DIGIT 7) 3) []"
17,60,1,"C (CONS (DECC (DIGIT 8) 7) [])","CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 8) 7) [])","CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 8) 7) [])"
18,50,1,"C (CONS (DECC (DIGIT 7) 3) [])","CONS (DECC (DIGIT 7) 3) (CONS (DECC (DIGIT 7) 3) [])","CONS (DECC (DIGIT 7) 3) (CONS (DECC (DIGIT 7) 3) [])"
19,40,1,"C (CONS (DECC (DIGIT 1) 2) (CONS (DECC (DIGIT 1) 2) []))","CONS (DECC (DIGIT 1) 2) []","CONS (DECC (DIGIT 1) 2) []"
