n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DIGIT 8) (CONS (DIGIT 8) []))","CONS (DIGIT 8) []","[]"
1,5000,0,"C (CONS (DECC (DIGIT 8) 1) [])","CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 8) 1) [])","[]"
2,7500,1,"C (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 5) 5) []))","CONS (DECC (DIGIT 5) 5) []","CONS (DECC (DIGIT 5) 5) []"
3,5010,1,"C (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 2) 0) []))","CONS (DECC (DIGIT 2) 0) []","CONS (DECC (DIGIT 2) 0) []"
4,3350,1,"C (CONS (DECC (DIGIT 6) 3) (CONS (DECC (DIGIT 6) 3) []))","CONS (DECC (DIGIT 6) 3) []","CONS (DECC (DIGIT 6) 3) []"
5,2240,1,"C (CONS (DIGIT 6) [])","CONS (DIGIT 6) (CONS (DIGIT 6) [])","CONS (DIGIT 6) (CONS (DIGIT 6) [])"
6,1500,1,"C (CONS (DIGIT 1) (CONS (DIGIT 1) []))","CONS (DIGIT 1) []","CONS (DIGIT 1) []"
7,1010,1,"C (CONS (DIGIT 5) (CONS (DIGIT 5) []))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
8,680,1,"C (CONS (DIGIT 3) (CONS (DIGIT 3) []))","CONS (DIGIT 3) []","CONS (DIGIT 3) []"
9,460,1,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) [])","CONS (DIGIT 2) (CONS (DIGIT 2) [])"
10,310,1,"C (CONS (DIGIT 9) (CONS (DIGIT 9) []))","CONS (DIGIT 9) []","CONS (DIGIT 9) []"
11,210,1,"C (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) []))","CONS (DECC (DIGIT 5) 8) []","CONS (DECC (DIGIT 5) 8) []"
12,150,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) []))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
13,110,1,"C (CONS (DECC (DIGIT 8) 9) [])","CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 8) 9) [])","CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 8) 9) [])"
14,80,1,"C (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) []))","CONS (DECC (DIGIT 5) 0) []","CONS (DECC (DIGIT 5) 0) []"
15,60,1,"C (CONS (DIGIT 4) (CONS (DIGIT 4) []))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
16,50,1,"C (CONS (DIGIT 2) (CONS (DIGIT 2) []))","CONS (DIGIT 2) []","CONS (DIGIT 2) []"
17,40,1,"C (CONS (DECC (DIGIT 1) 0) [])","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) [])","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) [])"
18,30,1,"C (CONS (DECC (DIGIT 9) 7) [])","CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 9) 7) [])","CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 9) 7) [])"
19,30,1,"C (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 4) 1) []))","CONS (DECC (DIGIT 4) 1) []","CONS (DECC (DIGIT 4) 1) []"
