n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 4) 9) (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 9) [])))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 4) 9) (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 9) [])))))))"
1,5000,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 4) 6) (CONS (DECC (DIGIT 8) 9) (CONS (DIGIT 5) []))))","CONS (DIGIT 0) []","CONS (DIGIT 0) []"
2,3340,1,"C (CONS (DECC (DIGIT 9) 6) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 9) 2) [])))))))","CONS (DECC (DIGIT 9) 6) []","CONS (DECC (DIGIT 9) 6) []"
3,2230,1,"C (CONS (DIGIT 4) (CONS (DECC (DIGIT 9) 0) (CONS (DIGIT 9) (CONS (DIGIT 0) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 3) 4) (CONS (DECC (DIGIT 8) 0) [])))))))))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
4,1490,1,"C (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 2) [])))))))","CONS (DECC (DIGIT 5) 4) []","CONS (DECC (DIGIT 5) 4) []"
5,1000,1,"C (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 7) 1) (CONS (DIGIT 8) (CONS (DIGIT 9) (CONS (DECC (DIGIT 8) 0) (CONS (DECC (DIGIT 7) 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 0) []))))))))","CONS (DECC (DIGIT 7) 4) []","CONS (DECC (DIGIT 7) 4) []"
6,670,1,"C (CONS (DECC (DIGIT 3) 6) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 9) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 4) []))))))","CONS (DECC (DIGIT 3) 6) []","CONS (DECC (DIGIT 3) 6) []"
7,450,1,"C (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 3) (CONS (DIGIT 3) (CONS (DIGIT 9) [])))))","CONS (DIGIT 8) []","CONS (DIGIT 8) []"
8,310,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 0) (CONS (DIGIT 4) (CONS (DIGIT 0) (CONS (DIGIT 5) (CONS (DIGIT 7) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 5) (CONS (DIGIT 2) [])))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
9,210,1,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 8) 8) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 1) [])))))))","CONS (DIGIT 3) []","CONS (DIGIT 3) []"
