i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DECC (DIGIT 4) 3) (CONS (DECC (DIGIT 4) 3) []))","CONS (DECC (DIGIT 4) 3) []","C (CONS (DECC (DIGIT 4) 3) (CONS (DECC (DIGIT 4) 3) []))"
1,3000,1,"C (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) []))","CONS (DECC (DIGIT 5) 8) []","CONS (DECC (DIGIT 5) 8) []"
2,2010,1,"C (CONS (DECC (DIGIT 1) 2) (CONS (DECC (DIGIT 1) 2) []))","CONS (DECC (DIGIT 1) 2) []","CONS (DECC (DIGIT 1) 2) []"
3,1350,0,"C (CONS (DECC (DIGIT 8) 7) [])","CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 8) 7) [])","[]"
4,2030,1,"C (CONS (DECC (DIGIT 3) 8) [])","CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 3) 8) [])","CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 3) 8) [])"
5,1360,1,"C (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) []))","CONS (DECC (DIGIT 9) 9) []","CONS (DECC (DIGIT 9) 9) []"
6,910,1,"C (CONS (DECC (DIGIT 1) 3) [])","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) [])","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) [])"
7,610,1,"C (CONS (DECC (DIGIT 1) 7) [])","CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 1) 7) [])","CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 1) 7) [])"
8,410,1,"C (CONS (DIGIT 9) (CONS (DIGIT 9) []))","CONS (DIGIT 9) []","CONS (DIGIT 9) []"
9,280,1,"C (CONS (DIGIT 4) (CONS (DIGIT 4) []))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
10,190,1,"C (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 5) 5) []))","CONS (DECC (DIGIT 5) 5) []","CONS (DECC (DIGIT 5) 5) []"
11,130,1,"C (CONS (DIGIT 0) [])","CONS (DIGIT 0) (CONS (DIGIT 0) [])","CONS (DIGIT 0) (CONS (DIGIT 0) [])"
12,90,1,"C (CONS (DECC (DIGIT 6) 7) [])","CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 6) 7) [])","CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 6) 7) [])"
13,70,1,"C (CONS (DECC (DIGIT 7) 7) [])","CONS (DECC (DIGIT 7) 7) (CONS (DECC (DIGIT 7) 7) [])","CONS (DECC (DIGIT 7) 7) (CONS (DECC (DIGIT 7) 7) [])"
14,50,1,"C (CONS (DECC (DIGIT 8) 8) [])","CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) [])","CONS (DECC (DIGIT 8) 8) (CONS (DECC (DIGIT 8) 8) [])"
15,40,1,"C (CONS (DIGIT 7) (CONS (DIGIT 7) []))","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
16,30,1,"C (CONS (DIGIT 2) (CONS (DIGIT 2) []))","CONS (DIGIT 2) []","CONS (DIGIT 2) []"
17,30,1,"C (CONS (DIGIT 0) (CONS (DIGIT 0) []))","CONS (DIGIT 0) []","CONS (DIGIT 0) []"
18,30,1,"C (CONS (DECC (DIGIT 5) 3) (CONS (DECC (DIGIT 5) 3) []))","CONS (DECC (DIGIT 5) 3) []","CONS (DECC (DIGIT 5) 3) []"
19,30,1,"C (CONS (DECC (DIGIT 4) 5) [])","CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) [])","CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 4) 5) [])"
