i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 1) 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 2) 8) [])))))))))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) [])))))))))","C (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 1) 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 2) 8) [])))))))))"
1,3000,0,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 3) (CONS (DECC (DIGIT 8) 8) (CONS (DIGIT 8) (CONS (DIGIT 6) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 6) 9) (CONS (DIGIT 9) []))))))))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) [])))))))))","CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DIGIT 5) []))))))))"
2,3000,1,"C (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 5) 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 5) 9) []))))","CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) [])))))))))","CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) [])))))))))"
3,2010,1,"C (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 7) 7) (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 1) 5) []))))))","CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) [])))))))))","CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) (CONS (DIGIT 8) [])))))))))"
4,1350,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 2) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 4) 3) [])))))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) [])))))))))","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DIGIT 0) [])))))))))"
5,910,1,"C (CONS (DECC (DIGIT 9) 6) [])","CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) [])))))))))","CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 6) [])))))))))"
6,610,1,"C (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 3) 5) (CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 9) 4) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 6) 3) [])))))))))","CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) [])))))))))","CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) (CONS (DECC (DIGIT 5) 0) [])))))))))"
7,410,1,"C (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 4) 7) (CONS (DECC (DIGIT 6) 1) (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 6) []))))))","CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) [])))))))))","CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 9) 9) [])))))))))"
8,280,1,"C (CONS (DECC (DIGIT 1) 9) (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 6) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 8) (CONS (DIGIT 6) []))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) [])))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 1) 9) [])))))))))"
9,190,1,"C (CONS (DECC (DIGIT 1) 0) [])","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) [])))))))))","CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 0) [])))))))))"
