i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DECC (DIGIT 4) 9) (CONS (DIGIT 0) (CONS (DIGIT 5) [])))","CONS (DIGIT 5) []","C (CONS (DECC (DIGIT 4) 9) (CONS (DIGIT 0) (CONS (DIGIT 5) [])))"
1,3000,0,"C (CONS (DIGIT 8) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 6) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 4) 5) []))))))))))","CONS (DECC (DIGIT 4) 5) []","CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 6) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 4) 5) [])))))))"
2,3000,0,"C (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 7) 6) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 6) 9) [])))))))","CONS (DECC (DIGIT 6) 9) []","CONS (DIGIT 0) []"
3,3000,0,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 4) []))","CONS (DECC (DIGIT 4) 4) []","C (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 4) []))"
4,3000,1,"C (CONS (DECC (DIGIT 1) 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 6) [])))","CONS (DECC (DIGIT 2) 6) []","CONS (DECC (DIGIT 2) 6) []"
5,2010,1,"C (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 7) 9) [])))))))","CONS (DECC (DIGIT 7) 9) []","CONS (DECC (DIGIT 7) 9) []"
6,1350,0,"C (CONS (DECC (DIGIT 2) 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 7) 2) (CONS (DECC (DIGIT 8) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 8) 0) (CONS (DIGIT 3) (CONS (DIGIT 1) [])))))))))","CONS (DIGIT 1) []","CONS (DECC (DIGIT 8) 0) (CONS (DIGIT 3) (CONS (DIGIT 1) []))"
7,2030,0,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 3) 5) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 8) (CONS (DIGIT 3) []))))))","CONS (DIGIT 3) []","CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 3) 5) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 8) (CONS (DIGIT 3) []))))"
8,3000,0,"C (CONS (DECC (DIGIT 5) 5) [])","CONS (DECC (DIGIT 5) 5) []","CONS (DIGIT 1) []"
9,3000,0,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 2) 0) (CONS (DIGIT 7) (CONS (DIGIT 2) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 1) (CONS (DIGIT 3) (CONS (DIGIT 7) [])))))))))","CONS (DIGIT 7) []","CONS (DIGIT 5) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 2) 0) (CONS (DIGIT 7) (CONS (DIGIT 2) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 1) (CONS (DIGIT 3) (CONS (DIGIT 7) []))))))))"
