n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DECC (DIGIT 5) 6) (CONS (DECC (DIGIT 1) 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 5) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 5) 6) (CONS (DECC (DIGIT 1) 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 5) [])))))))))","CONS (DECC (DIGIT 1) 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 5) [])))"
1,5000,0,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) [])))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 9) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 4) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) [])))))))))"
2,7500,1,"C (CONS (DECC (DIGIT 9) 3) [])","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 9) 3) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 9) 3) [])))))"
3,5010,1,"C (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 2) 5) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 2) 5) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 2) 5) []))))))))"
4,3350,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 4) [])))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 4) [])))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 4) [])))))))"
5,2240,1,"C (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 9) 7) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 9) 7) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 9) 7) []))))))))"
6,1500,1,"C (CONS (DECC (DIGIT 3) 7) (CONS (DIGIT 8) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 2) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 3) 7) (CONS (DIGIT 8) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 2) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 3) 7) (CONS (DIGIT 8) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 2) []))))))))"
7,1010,1,"C (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 8) 7) (CONS (DIGIT 6) (CONS (DIGIT 6) []))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 8) 7) (CONS (DIGIT 6) (CONS (DIGIT 6) []))))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 6) 8) (CONS (DECC (DIGIT 8) 7) (CONS (DIGIT 6) (CONS (DIGIT 6) []))))))))"
8,680,1,"C (CONS (DIGIT 5) [])","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 5) [])))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 5) [])))))"
9,460,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) [])))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 7) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) [])))))))","CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 7) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) [])))))))"
