n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 1) (CONS (DIGIT 0) [])))","CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 1) (CONS (DIGIT 0) [])))))))","[]"
1,5000,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 4) []))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 4) []))))))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 4) []))))))))"
2,3340,1,"C (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 9) [])))","CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 9) [])))))))","CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 9) [])))))))"
3,2230,1,"C (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 2) 6) (CONS (DIGIT 7) [])))))","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 2) 6) (CONS (DIGIT 7) [])))))))))","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 2) 6) (CONS (DIGIT 7) [])))))))))"
4,1490,1,"C (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 2) 7) []))","CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 2) 7) []))))))","CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 2) 7) []))))))"
5,1000,1,"C (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 8) (CONS (DIGIT 6) (CONS (DECC (DIGIT 4) 2) []))))","CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 8) (CONS (DIGIT 6) (CONS (DECC (DIGIT 4) 2) []))))))))","CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 3) 8) (CONS (DIGIT 6) (CONS (DECC (DIGIT 4) 2) []))))))))"
6,670,1,"C (CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 6) []))))","CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 6) []))))))))","CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 6) []))))))))"
7,450,1,"C (CONS (DIGIT 7) (CONS (DIGIT 3) []))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 3) []))))))","CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 7) (CONS (DIGIT 3) []))))))"
8,310,1,"C (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 1) [])))","CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 1) [])))))))","CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 1) [])))))))"
9,210,1,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 6) 0) (CONS (DIGIT 8) [])))))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 6) 0) (CONS (DIGIT 8) [])))))))))","CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DECC (DIGIT 9) 9) (CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 6) 0) (CONS (DIGIT 8) [])))))))))"
