n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DECC (DIGIT 1) 6) (CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 2) 5) (CONS (DECC (DIGIT 1) 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 6) (CONS (DIGIT 5) []))))))))))","CONS (DIGIT 5) []","CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 2) 5) (CONS (DECC (DIGIT 1) 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 6) (CONS (DIGIT 5) []))))))))"
1,5000,0,"C (CONS (DIGIT 5) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 7) 6) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 6) 9) [])))))))","CONS (DECC (DIGIT 6) 9) []","CONS (DIGIT 5) []"
2,7500,0,"C (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 9) (CONS (DIGIT 6) (CONS (DIGIT 5) (CONS (DIGIT 3) [])))))","CONS (DIGIT 3) []","CONS (DECC (DIGIT 6) 9) []"
3,11250,0,"C (CONS (DIGIT 0) [])","CONS (DIGIT 0) []","CONS (DECC (DIGIT 6) 9) []"
4,16880,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 8) 5) (CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 3) 5) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 2) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 5) [])))))))))","CONS (DECC (DIGIT 1) 5) []","CONS (DECC (DIGIT 1) 5) []"
5,11260,1,"C (CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DIGIT 9) (CONS (DECC (DIGIT 5) 3) (CONS (DIGIT 3) []))))))","CONS (DIGIT 3) []","CONS (DIGIT 3) []"
6,7510,1,"C (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 3) 1) [])))","CONS (DECC (DIGIT 3) 1) []","CONS (DECC (DIGIT 3) 1) []"
7,5010,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 6) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 6) [])))))))))","CONS (DIGIT 6) []","CONS (DIGIT 6) []"
8,3350,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 3) 5) (CONS (DECC (DIGIT 9) 1) (CONS (DIGIT 8) (CONS (DIGIT 3) []))))))","CONS (DIGIT 3) []","CONS (DIGIT 3) []"
9,2240,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 9) (CONS (DIGIT 9) (CONS (DIGIT 9) [])))))","CONS (DIGIT 9) []","CONS (DIGIT 9) []"
