i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 1) []))","CONS (DIGIT 8) []","C (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 1) []))"
1,3000,1,"C (CONS (DECC (DIGIT 3) 2) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 3) 3) (CONS (DIGIT 8) (CONS (DIGIT 9) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 1) 2) (CONS (DECC (DIGIT 4) 3) []))))))))))","CONS (DECC (DIGIT 3) 2) []","CONS (DECC (DIGIT 3) 2) []"
2,2010,1,"C (CONS (DECC (DIGIT 6) 1) (CONS (DECC (DIGIT 3) 4) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 7) (CONS (DIGIT 6) [])))))","CONS (DECC (DIGIT 6) 1) []","CONS (DECC (DIGIT 6) 1) []"
3,1350,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 8) 4) (CONS (DIGIT 0) (CONS (DECC (DIGIT 7) 5) []))))","CONS (DIGIT 0) []","CONS (DIGIT 0) []"
4,910,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 5) (CONS (DECC (DIGIT 5) 9) []))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
5,610,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 4) 9) (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 9) [])))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
6,410,1,"C (CONS (DIGIT 8) (CONS (DIGIT 7) (CONS (DIGIT 4) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 7) 3) (CONS (DECC (DIGIT 3) 3) (CONS (DIGIT 8) []))))))))","CONS (DIGIT 8) []","CONS (DIGIT 8) []"
7,280,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 9) 4) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 4) (CONS (DECC (DIGIT 8) 2) [])))))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
8,190,1,"C (CONS (DECC (DIGIT 9) 7) (CONS (DIGIT 4) (CONS (DECC (DIGIT 3) 7) [])))","CONS (DECC (DIGIT 9) 7) []","CONS (DECC (DIGIT 9) 7) []"
9,130,1,"C (CONS (DECC (DIGIT 9) 6) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 7) (CONS (DIGIT 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 9) 2) [])))))))","CONS (DECC (DIGIT 9) 6) []","CONS (DECC (DIGIT 9) 6) []"
