# c011: c xs = (if (empty? (tail xs)) nil (cons (head xs) (c (tail xs))))
10,68,7,62;10,68,7
22,0;22
81,3,6,8,8,5;81,3,6,8,8
19,2,38,1,7,0,10,5,7,8;19,2,38,1,7,0,10,5,7
30,98,50;30,98
89,9,18,87;89,9,18
82,89,45,30,6,8,9,7,6;82,89,45,30,6,8,9,7
3,0,9,0,72,32;3,0,9,0,72
62,64,22;62,64
9,93,1;9,93
72,2,10,9,4,2,7;72,2,10,9,4,2
10;
59,8,2,2,16,7,1,88,21,10;59,8,2,2,16,7,1,88,21
5,0,91,96,83,4,8,4;5,0,91,96,83,4,8
7,3,25,20,16,87,13,91,9,7;7,3,25,20,16,87,13,91,9
5;
85,0,91,6,8;85,0,91,6
6,2,83,76,56,6,67;6,2,83,76,56,6
5,2,9,9,1,8,5;5,2,9,9,1,8
38,48,8,40;38,48,8
2,6,8,31,17,21,7,55;2,6,8,31,17,21,7
84,13,75,2,1;84,13,75,2
95,1,4,36;95,1,4
5,53,3;5,53
51,33,30,5,7,1,6;51,33,30,5,7,1
17,54,49,79,55,7,32;17,54,49,79,55,7
7,5,8;7,5
6,76,5,30,89,67,84,26,10,65;6,76,5,30,89,67,84,26,10
0,76;0
4,67,86,2,46,63,0,6;4,67,86,2,46,63,0
17;
0,83,89,43,10,4;0,83,89,43,10
0,90,28,10,1,8;0,90,28,10,1
10,31,7,21,59,6,1,10,7,87;10,31,7,21,59,6,1,10,7
42;
1,1,4,87,1,10,25,7;1,1,4,87,1,10,25
6,86,24,94,5,10,2;6,86,24,94,5,10
53,15,38,6,41;53,15,38,6
44,8,82,10,0,0,5,30,5,4;44,8,82,10,0,0,5,30,5
7,71,70,97;7,71,70
72,7,3,49,6;72,7,3,49
10,6,82,8;10,6,82
9,10,63,8,16,4,2,2,9;9,10,63,8,16,4,2,2
70,70,63;70,70
1,4,0;1,4
77,6,90,85,2,10,6,4;77,6,90,85,2,10,6
0,10,40,2,79,9,13,42,0;0,10,40,2,79,9,13,42
2,3,10,9,20,3,77,0,54;2,3,10,9,20,3,77,0
9,5,6,3,5,10,38,6;9,5,6,3,5,10,38
62,0,9,10,19;62,0,9,10
