# c001: c xs = (cons 37 nil)
;37
12,66;37
0,46,18,9,0,27,3,1,9,10;37
14,60,10,83,7,3,0,5,10;37
0,4,86,7,8,34,17,61,34,0;37
5;37
0,71,54,5,5;37
73,10,0,85,63,2,8,3,4;37
42,4,62,88;37
1,9,80,1,9,8,92;37
7,16,0,3,9,0,73;37
35,19,53,62,92,2,78,9,66;37
0,13;37
10,19,48,10,32;37
35;37
6;37
1,2,83;37
1,1,1,1,67,9,5;37
5,61,10,34;37
68,6,6,58,47;37
9,87,1,82,10,91,7;37
99,4,1,4,6,7,41,20;37
7,52,78,44,0,7,41,1,32;37
9,20,8,1,2,3,69,29,4,0;37
91,68,3,3,63,10,9,6;37
1,5,4,6,7,39,93,10,44;37
8,4,24,30,0;37
5,7,8,5,0,6,13,4,1;37
0,9,22,75,29,1,36,3,65;37
1,7,1,70,2,0,0;37
2,22,0,1,5,29,5,84,61;37
10,88,7,1,10;37
71,7,5,27,52,2,7;37
10,7,62,75,79;37
61,58,66,1,10,5,82,3,5;37
4,48,9,68;37
8,60,7,0,8,16,1;37
1,80,44,8,83,33,91,4;37
18,10,15,1;37
1,0,6,4,1,9,5,8;37
41;37
4,73;37
73,3,87,14,7,84,9,51;37
8,17,73,10,8;37
8,7,82,5,6,57,76,6,80;37
0,12;37
37,3,1,8,49,88,50,6,33;37
65,7,54,72,7,0,83,5,8,66;37
2,44,1,9,18,1,52,4,46,63;37
65,60,79;37
