# c016: c xs = (cons (head (tail xs)) (cons (head xs) (tail (tail xs))))
86,79,4,50,10,5,19,60;79,86,4,50,10,5,19,60
91,19,3,32,0,9,83,10;19,91,3,32,0,9,83,10
68,1,10,34,9;1,68,10,34,9
36,2,12,2,2,2,58,64,5,78;2,36,12,2,2,2,58,64,5,78
1,55,7;55,1,7
91,20,90,21,15,85;20,91,90,21,15,85
4,0,1,17,65,3,9,8,5,2;0,4,1,17,65,3,9,8,5,2
39,30,21,2,6,4,2,5;30,39,21,2,6,4,2,5
18,10,0,88,6,62,48,7;10,18,0,88,6,62,48,7
3,28,9,91,2;28,3,9,91,2
57,10,7;10,57,7
47,97,29,47,90,6,2,3,9;97,47,29,47,90,6,2,3,9
4,36,44,56,4,69,9;36,4,44,56,4,69,9
89,42;42,89
4,6,3,89,10,0,84,22,7;6,4,3,89,10,0,84,22,7
4,33,6,20;33,4,6,20
0,3,5,75;3,0,5,75
1,91,3,1,5,7;91,1,3,1,5,7
79,5,10,4,1;5,79,10,4,1
2,8,10,24;8,2,10,24
10,6,10,5,2,2;6,10,10,5,2,2
99,9,0,89,7,7,4;9,99,0,89,7,7,4
36,19,89;19,36,89
1,66,96,8,9,6,72,11,31;66,1,96,8,9,6,72,11,31
62,3,35,5,16;3,62,35,5,16
8,5,75,7,78,8,4,56,1;5,8,75,7,78,8,4,56,1
4,3,94,69;3,4,94,69
78,38,95,16,85;38,78,95,16,85
6,7;7,6
7,2,84,1,10,2,1;2,7,84,1,10,2,1
9,6,62,17,1,2;6,9,62,17,1,2
5,1,38,34,4,50,90,6,40;1,5,38,34,4,50,90,6,40
50,8,44,0,97,67;8,50,44,0,97,67
56,1,23,88,21,56;1,56,23,88,21,56
9,7,18,1,8,46,52;7,9,18,1,8,46,52
3,86,7,66,3,23,9;86,3,7,66,3,23,9
5,55,35,17,4,8;55,5,35,17,4,8
7,45,14,0,5,6;45,7,14,0,5,6
5,1,5,8,26,2,4,77,45;1,5,5,8,26,2,4,77,45
86,82,2,91,9,14,7,10,42;82,86,2,91,9,14,7,10,42
60,74,27,0,73,61,0,2;74,60,27,0,73,61,0,2
48,41,8,30;41,48,8,30
9,1,6,75,30,0;1,9,6,75,30,0
2,51,38,5,98,0,75,67;51,2,38,5,98,0,75,67
10,22,9,9,1,92,10,19;22,10,9,9,1,92,10,19
42,89,8,66,8,57,6,8;89,42,8,66,8,57,6,8
28,0;0,28
3,82;82,3
5,16,10,17,60,6,32,35,16;16,5,10,17,60,6,32,35,16
4,87,94,78,0,5,3,7,91,0;87,4,94,78,0,5,3,7,91,0
