# c006: c xs = (cons 7 xs)
14,9,5,32,18,58,72,0,3;7,14,9,5,32,18,58,72,0,3
9;7,9
93,88,2;7,93,88,2
10,3,3,53,3,90,94;7,10,3,3,53,3,90,94
1,6,17,5;7,1,6,17,5
5,15,30,7;7,5,15,30,7
;7
91;7,91
6,1,0,94,97,76;7,6,1,0,94,97,76
61,9,63;7,61,9,63
6;7,6
6,8,76,0,59,25,86,24,67;7,6,8,76,0,59,25,86,24,67
10,10,4,10,10,2,7,99;7,10,10,4,10,10,2,7,99
2,9,24,7,3,0,72;7,2,9,24,7,3,0,72
85,4;7,85,4
69,0,21,22,86;7,69,0,21,22,86
6,5,93;7,6,5,93
38,9,0,41,78,10,8,11;7,38,9,0,41,78,10,8,11
25,58,55;7,25,58,55
5;7,5
9,45,10,65,1,0;7,9,45,10,65,1,0
12,86,1,53,3,84,60,6;7,12,86,1,53,3,84,60,6
61,96,38,10,9;7,61,96,38,10,9
2,0,32;7,2,0,32
33,8;7,33,8
67,17,0,68,2,87;7,67,17,0,68,2,87
7;7,7
4,5,1,47,3,28;7,4,5,1,47,3,28
56,2,3,99;7,56,2,3,99
5,22,73,7,4,71;7,5,22,73,7,4,71
53,58,7,5,68,6,77;7,53,58,7,5,68,6,77
9,42,1,92,5,10,71,8,69;7,9,42,1,92,5,10,71,8,69
0,2;7,0,2
99;7,99
72,0;7,72,0
2,51,10,0,5,3,9,10;7,2,51,10,0,5,3,9,10
25;7,25
4,1,60;7,4,1,60
95;7,95
9,3,1,10,35,23,50,0,6;7,9,3,1,10,35,23,50,0,6
45;7,45
10,45,1,2;7,10,45,1,2
6,10,9,10,9,1,72,72;7,6,10,9,10,9,1,72,72
2,86,6,26,63,1,70,75,75;7,2,86,6,26,63,1,70,75,75
49;7,49
2;7,2
97,0,7,8,80,29;7,97,0,7,8,80,29
3,0,0,56,10,8,55,34,10;7,3,0,0,56,10,8,55,34,10
2,7,6;7,2,7,6
4,0;7,4,0
