# c014: c xs = (cons (head xs) (cons (head xs) (cons (head xs) (cons (head xs) (cons (head xs) xs)))))
6,10,59,4;6,6,6,6,6,6,10,59,4
70;70,70,70,70,70,70
43,0,0;43,43,43,43,43,43,0,0
2,10,3;2,2,2,2,2,2,10,3
3,99,83,60,8;3,3,3,3,3,3,99,83,60,8
30,38,6,42;30,30,30,30,30,30,38,6,42
97,9;97,97,97,97,97,97,9
1,65,84,70;1,1,1,1,1,1,65,84,70
8,6;8,8,8,8,8,8,6
99;99,99,99,99,99,99
61;61,61,61,61,61,61
8;8,8,8,8,8,8
57,1,73;57,57,57,57,57,57,1,73
81,50,79,59;81,81,81,81,81,81,50,79,59
58,10,41;58,58,58,58,58,58,10,41
2;2,2,2,2,2,2
0,9,39;0,0,0,0,0,0,9,39
10,2,44;10,10,10,10,10,10,2,44
65,3,29,29,57;65,65,65,65,65,65,3,29,29,57
5;5,5,5,5,5,5
92,97,69,21;92,92,92,92,92,92,97,69,21
7,3;7,7,7,7,7,7,3
7,3,10,5;7,7,7,7,7,7,3,10,5
67;67,67,67,67,67,67
3,8;3,3,3,3,3,3,8
6,51,0;6,6,6,6,6,6,51,0
73,3,44,3,25;73,73,73,73,73,73,3,44,3,25
51,5;51,51,51,51,51,51,5
57,6,59;57,57,57,57,57,57,6,59
8,10,10;8,8,8,8,8,8,10,10
13,30,0,26,7;13,13,13,13,13,13,30,0,26,7
4,64,81,6;4,4,4,4,4,4,64,81,6
7,81,80,10;7,7,7,7,7,7,81,80,10
66,0,8,0;66,66,66,66,66,66,0,8,0
7,41;7,7,7,7,7,7,41
31,27;31,31,31,31,31,31,27
6,50;6,6,6,6,6,6,50
93,6,48,2;93,93,93,93,93,93,6,48,2
40,68,0,63;40,40,40,40,40,40,68,0,63
58;58,58,58,58,58,58
2,41,54,0,5;2,2,2,2,2,2,41,54,0,5
0,37,7,33;0,0,0,0,0,0,37,7,33
1,99,7,5,3;1,1,1,1,1,1,99,7,5,3
7,4;7,7,7,7,7,7,4
0,1,1;0,0,0,0,0,0,1,1
51,0,8,6,2;51,51,51,51,51,51,0,8,6,2
7,49,43,4;7,7,7,7,7,7,49,43,4
1,97,90,12;1,1,1,1,1,1,97,90,12
48;48,48,48,48,48,48
60,6,8,8;60,60,60,60,60,60,6,8,8
