# c005: c xs = xs
;
5,45,10,1,68,7,76,77;5,45,10,1,68,7,76,77
8,51,91,7,81,74,53;8,51,91,7,81,74,53
16,72,8,39,10,6;16,72,8,39,10,6
14,10,48,3,2,9,10,3;14,10,48,3,2,9,10,3
3,0,0,10;3,0,0,10
51;51
9,0,21;9,0,21
1,4,73,7,6,6,4,5;1,4,73,7,6,6,4,5
9,3,58,49,6,1,42,34,8;9,3,58,49,6,1,42,34,8
7,7,90,73,87,2;7,7,90,73,87,2
1,46,5,45,8,0,8;1,46,5,45,8,0,8
81,0,6,39,4,2,2,28;81,0,6,39,4,2,2,28
57,46,69,75,5,5,3,7,31;57,46,69,75,5,5,3,7,31
35,2;35,2
2,93,11,45,3,1,53;2,93,11,45,3,1,53
89,55;89,55
67,30,20;67,30,20
4,46,15,86,41,7,9;4,46,15,86,41,7,9
69;69
46,1,6,3;46,1,6,3
5,30;5,30
39,78;39,78
55,10,8,3,41,91,83,6;55,10,8,3,41,91,83,6
6,0,2,5,31,91,63,6,55,49;6,0,2,5,31,91,63,6,55,49
4,2;4,2
9,83,14,43,10,39;9,83,14,43,10,39
77,7,6,0,63;77,7,6,0,63
5,16,59,67,6,6;5,16,59,67,6,6
5,9,10,2,7,4;5,9,10,2,7,4
5,10,58,9;5,10,58,9
5,6,58,1,6,36;5,6,58,1,6,36
97;97
14,59,3,71,96;14,59,3,71,96
13,66,48;13,66,48
8,2,12,80,58,62,3,11,0;8,2,12,80,58,62,3,11,0
4,67,10;4,67,10
60,1,24,66,0,7,9,4,74,0;60,1,24,66,0,7,9,4,74,0
38;38
21,15,94;21,15,94
86,6,8,78,51,37,45,18,4;86,6,8,78,51,37,45,18,4
0,6,4,41,2,45,65,4,3;0,6,4,41,2,45,65,4,3
3,24,2,67,69,5,2,94,8;3,24,2,67,69,5,2,94,8
3;3
84,37,9,30;84,37,9,30
3,1,9,7,5,6;3,1,9,7,5,6
3,13,50,55,53,26,45,0,76;3,13,50,55,53,26,45,0,76
2,10,7,74,7,97,8,0,5,12;2,10,7,74,7,97,8,0,5,12
2,86;2,86
25,86,23,13;25,86,23,13
