# c004: c xs = (cons 11 (cons 19 (cons 24 (cons 33 (cons 42 (cons 5 (cons 82 (cons 0 (cons 64 (cons 9 nil))))))))))
;11,19,24,33,42,5,82,0,64,9
1,2,5,3,80;11,19,24,33,42,5,82,0,64,9
10;11,19,24,33,42,5,82,0,64,9
17,4,23,6,8,8,3,56,1;11,19,24,33,42,5,82,0,64,9
2,67,27,71,97,3,8;11,19,24,33,42,5,82,0,64,9
55,1,6,2;11,19,24,33,42,5,82,0,64,9
7;11,19,24,33,42,5,82,0,64,9
15,10,1,9,88,6,8,91,4,95;11,19,24,33,42,5,82,0,64,9
4,24,54,48,12,0,49;11,19,24,33,42,5,82,0,64,9
79,9,5,72,1,83,9,96,0;11,19,24,33,42,5,82,0,64,9
8,3,8,6,8,32;11,19,24,33,42,5,82,0,64,9
4,83,2,9;11,19,24,33,42,5,82,0,64,9
22,10,10,18,65;11,19,24,33,42,5,82,0,64,9
7,1,5,15,24;11,19,24,33,42,5,82,0,64,9
17,8,99,41,12,92,22,2,5;11,19,24,33,42,5,82,0,64,9
81,0;11,19,24,33,42,5,82,0,64,9
9,3,58,10,48,29,8,71,29,77;11,19,24,33,42,5,82,0,64,9
1,9,6,14;11,19,24,33,42,5,82,0,64,9
94,38,5,5,5,61;11,19,24,33,42,5,82,0,64,9
33,8,0,17;11,19,24,33,42,5,82,0,64,9
4,1,74,4,6,86;11,19,24,33,42,5,82,0,64,9
3,42,28;11,19,24,33,42,5,82,0,64,9
74,3,6,8,61,2,3;11,19,24,33,42,5,82,0,64,9
4,3,52,71,6,9,55;11,19,24,33,42,5,82,0,64,9
65,8,0,0,97,97,16;11,19,24,33,42,5,82,0,64,9
21,59,41;11,19,24,33,42,5,82,0,64,9
2,23,3,8,85,48;11,19,24,33,42,5,82,0,64,9
48,9,3,26,61;11,19,24,33,42,5,82,0,64,9
8,5,50,7,3,5,6;11,19,24,33,42,5,82,0,64,9
89,8,57,3,17,3,2,2,6,5;11,19,24,33,42,5,82,0,64,9
4,4,85,0;11,19,24,33,42,5,82,0,64,9
37,9,10,50;11,19,24,33,42,5,82,0,64,9
5,1;11,19,24,33,42,5,82,0,64,9
9,19,0,7,1;11,19,24,33,42,5,82,0,64,9
3,36,5;11,19,24,33,42,5,82,0,64,9
26,10,1,1;11,19,24,33,42,5,82,0,64,9
1,0,3,39,3,47,10,10,82;11,19,24,33,42,5,82,0,64,9
65,4,13,65;11,19,24,33,42,5,82,0,64,9
13,33,29;11,19,24,33,42,5,82,0,64,9
3,1,5;11,19,24,33,42,5,82,0,64,9
17,78,0,70,7,4,4,8,12,47;11,19,24,33,42,5,82,0,64,9
10,45,33,35,1,45,28;11,19,24,33,42,5,82,0,64,9
7,3,50,71,6;11,19,24,33,42,5,82,0,64,9
0,22,40;11,19,24,33,42,5,82,0,64,9
20;11,19,24,33,42,5,82,0,64,9
83;11,19,24,33,42,5,82,0,64,9
8,5,96,74;11,19,24,33,42,5,82,0,64,9
80,2,8;11,19,24,33,42,5,82,0,64,9
2,55,1,94,40,82,5,11;11,19,24,33,42,5,82,0,64,9
88,63,9,14,6;11,19,24,33,42,5,82,0,64,9
