problem,run,order,trial,time,count,lprior,llikelihood,lposterior,trs
"c077",2,1,2,646.177315796,1274951,-120.34028099279773,-inf,-inf,".(C .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT v0_)) .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 0)) NIL))))) = .(.(CONS .(DIGIT 4)) NIL); .(C .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 0)) NIL))))) = .(.(CONS .(DIGIT 4)) NIL);"
"c077",0,1,1,581.478931786,1204308,-34.59631284585209,0,-34.59631284585209,"C = TAIL; TAIL = C; 6 = 9;"
"c077",4,1,4,1904.410351561,2255533,-155.3716490301917,-0.6652382726131858,-156.03688730280487,".(C .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 0)) NIL))))) = .(.(CONS .(DIGIT 4)) NIL); .(C .(.(CONS .(DIGIT 8)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 6)) NIL)))) = .(.(CONS .(DIGIT 3)) NIL); .(C v0_) = .(.(CONS .(DIGIT 1)) NIL); .(C .(.(CONS .(DIGIT 2)) NIL)) = .(.(CONS .(DIGIT 1)) NIL);"
"c077",0,1,3,1482.5106109390001,2013823,-159.10871321904222,-0.33813166608429757,-159.44684488512652,".(C NIL) = .(.(CONS .(DIGIT 4)) NIL); .(C .(.(CONS .(DIGIT 1)) v0_)) = .(C v0_); .(C .(.(CONS .(DIGIT 0)) v0_)) = .(C v0_); .(C .(.(CONS .(DIGIT 2)) v0_)) = .(C v0_); .(C .(.(CONS .(DIGIT 7)) v0_)) = .(C v0_); .(C .(.(CONS .(DIGIT 8)) .(.(CONS .(DIGIT v0_)) .(.(CONS .(DIGIT v0_)) NIL)))) = .(.(CONS .(DIGIT 3)) NIL);"
"c077",3,1,3,1742.310753788,2202705,-95.77746764557914,-0.33813166608429757,-96.11559931166343,".(C .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 0)) NIL))))) = .(.(CONS .(DIGIT 4)) NIL); .(C v0_) = .(.(CONS .(DIGIT 3)) NIL);"
"c077",2,1,3,1503.834993751,1980376,-116.90451685141309,-14.82334182505455,-131.72785867646763,".(v0_ .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 0)) NIL))))) = 4; .(op26 v0_) = 3; .(C v0_) = .(.(CONS .(DIGIT .(op26 v0_))) NIL); TRUE = TRUE;"
"c077",2,1,1,393.414167,818404,-45.78417750525682,-inf,-inf,".(v0_ .(> .(DIGIT 2))) = TAIL;"
"c077",1,1,1,405.331874334,836701,-52.30111875936895,-inf,-inf,".(CONS .(HEAD .(v0_ .(v1_ 7)))) = .(CONS NAN);"
"c077",2,1,6,3331.196985347,2753749,-220.95957925058627,-1.6355330326444408,-222.59511228323072,".(C .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 0)) NIL))))) = .(.(CONS .(DIGIT 4)) NIL); .(C .(.(CONS .(DIGIT 8)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 6)) NIL)))) = .(.(CONS .(DIGIT 3)) NIL); .(C .(.(CONS .(DIGIT 2)) NIL)) = .(.(CONS .(DIGIT 1)) NIL); .(C .(.(CONS .(DIGIT 8)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 9)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 7)) NIL)))))) = .(.(CONS .(DIGIT 5)) NIL); .(C v0_) = .(.(CONS .(DIGIT 0)) v0_); EQUAL = EQUAL;"
"c077",0,1,1,342.638658124,692516,-31.771337754169572,0,-31.771337754169572,".(DIGIT 1) = NAN; C = TAIL;"
"c077",2,1,1,347.622874216,724696,-11.99422309541484,0,-11.99422309541484,"C = TAIL;"
"c077",2,1,1,506.744346324,1045276,-51.44782899955766,0,-51.44782899955766,"C = .(CONS .(DIGIT .(.(.(IF .(.(EQUAL 2) 2)) 5) 5)));"
