problem,run,order,trial,time,count,lprior,llikelihood,lposterior,trs
"c050",4,2,2,1033.3670686330001,1508138,-215.09157541243718,-inf,-inf,".(.(op26 .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 7)) NIL)))) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 7)) NIL)))) = .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 7)) NIL))); .(C v0_) = .(.(CONS .(DIGIT 4)) .(.(op26 v0_) v0_)); .(C .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 7)) NIL)))) = .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 7)) NIL)))); NIL = .(.(CONS NAN) NIL);"
"c050",1,2,1,115.556881241,219010,-11.994222557298002,0,-11.994222557298002,"C = TAIL;"
"c050",2,2,1,383.545315151,690539,-19.844753541008913,-inf,-inf,".(CONS v0_) = TAIL;"
"c050",1,2,1,405.943914419,742965,-28.145400038096643,0,-28.145400038096643,"C = .(.(.(.(.(IF TRUE) IF) IF) FALSE) NIL);"
"c050",0,2,1,72.13559907,142417,-11.994223065605482,0,-11.994223065605482,"C = TAIL;"
"c050",2,2,1,510.844762563,903653,-24.677404380056405,0,-24.677404380056405,"C = TAIL; 9 = 8;"
"c050",0,2,1,83.638313216,164429,-21.909003118335104,0,-21.909003118335104,"C = TAIL; FALSE = TRUE;"
"c050",1,2,1,356.095725932,661778,-28.557469311617155,0,-28.557469311617155,"C = TAIL; EQUAL = .(IF .(EMPTY NIL));"
"c050",0,2,1,551.862737493,986306,-33.81965560853738,0,-33.81965560853738,"C = .(.(.(IF TRUE) TAIL) .(.(IF TRUE) .(TAIL NIL)));"
"c050",0,2,3,1554.006119288,1544256,-125.67636646098134,-12.330981104033853,-138.0073475650152,".(C .(.(CONS .(DIGIT v0_)) v1_)) = .(.(CONS .(DIGIT v0_)) .(.(CONS .(DIGIT v0_)) NIL)); .(C .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 7)) NIL)))) = .(.(.(.(IF TRUE) C) .(CONS .(DIGIT 7))) .(C .(TAIL NIL)));"
"c050",1,2,3,1301.9209521300002,1457637,-232.0699089992131,-inf,-inf,".(op26 .(.(CONS .(DIGIT 7)) NIL)) = .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 7)) NIL)))); .(op26 .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) v0_))) = .(op26 v0_); .(op26 .(.(CONS .(DIGIT 5)) NIL)) = .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 5)) NIL)); .(op27 .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 7)) NIL)))) = .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 7)) NIL))); .(op27 .(.(CONS .(DIGIT 5)) NIL)) = .(.(CONS .(DIGIT 5)) NIL); .(C v0_) = .(op26 .(op27 v0_));"
"c050",4,2,1,25.250971984,55475,-24.68157394821311,-inf,-inf,"TAIL = TAIL; 7 = 0;"
"c050",0,2,2,883.061341876,1227834,-55.457319508295015,-0.1314236999831048,-55.58874320827812,".(.(op26 v0_) v0_) = v0_; .(C v0_) = .(.(CONS .(DIGIT 4)) .(.(op26 v0_) v0_));"
