Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1594225984.576	 33018.479	0	0	0	0	./run_single.sh out/1594225984/results c007_5 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c007_5.json ../../../../../list-routine-learning-rs/Cargo.toml
9	:	1594225984.584	 33019.304	0	0	0	0	./run_single.sh out/1594225984/results c021_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c021_1.json ../../../../../list-routine-learning-rs/Cargo.toml
8	:	1594225984.583	 33020.381	0	0	0	0	./run_single.sh out/1594225984/results c017_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c017_2.json ../../../../../list-routine-learning-rs/Cargo.toml
17	:	1594225984.599	 33020.620	0	0	0	0	./run_single.sh out/1594225984/results c042_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c042_2.json ../../../../../list-routine-learning-rs/Cargo.toml
3	:	1594225984.575	 33020.921	0	0	0	0	./run_single.sh out/1594225984/results c007_4 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c007_4.json ../../../../../list-routine-learning-rs/Cargo.toml
2	:	1594225984.573	 33021.319	0	0	0	0	./run_single.sh out/1594225984/results c007_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c007_2.json ../../../../../list-routine-learning-rs/Cargo.toml
20	:	1594225984.605	 33021.366	0	0	0	0	./run_single.sh out/1594225984/results c063_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c063_1.json ../../../../../list-routine-learning-rs/Cargo.toml
1	:	1594225984.572	 33021.747	0	0	0	0	./run_single.sh out/1594225984/results c006_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c006_1.json ../../../../../list-routine-learning-rs/Cargo.toml
21	:	1594225984.606	 33022.111	0	0	0	0	./run_single.sh out/1594225984/results c070_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c070_1.json ../../../../../list-routine-learning-rs/Cargo.toml
11	:	1594225984.588	 33022.396	0	0	0	0	./run_single.sh out/1594225984/results c028_4 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c028_4.json ../../../../../list-routine-learning-rs/Cargo.toml
26	:	1594225984.616	 33022.940	0	0	0	0	./run_single.sh out/1594225984/results c073_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c073_1.json ../../../../../list-routine-learning-rs/Cargo.toml
6	:	1594225984.580	 33023.297	0	0	0	0	./run_single.sh out/1594225984/results c014_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c014_1.json ../../../../../list-routine-learning-rs/Cargo.toml
7	:	1594225984.581	 33023.717	0	0	0	0	./run_single.sh out/1594225984/results c014_3 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c014_3.json ../../../../../list-routine-learning-rs/Cargo.toml
28	:	1594225984.620	 33023.781	0	0	0	0	./run_single.sh out/1594225984/results c075_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c075_2.json ../../../../../list-routine-learning-rs/Cargo.toml
19	:	1594225984.603	 33023.858	0	0	0	0	./run_single.sh out/1594225984/results c062_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c062_2.json ../../../../../list-routine-learning-rs/Cargo.toml
25	:	1594225984.614	 33024.013	0	0	0	0	./run_single.sh out/1594225984/results c071_5 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c071_5.json ../../../../../list-routine-learning-rs/Cargo.toml
10	:	1594225984.586	 33024.187	0	0	0	0	./run_single.sh out/1594225984/results c028_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c028_1.json ../../../../../list-routine-learning-rs/Cargo.toml
16	:	1594225984.597	 33024.828	0	0	0	0	./run_single.sh out/1594225984/results c040_3 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c040_3.json ../../../../../list-routine-learning-rs/Cargo.toml
15	:	1594225984.595	 33025.013	0	0	0	0	./run_single.sh out/1594225984/results c036_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c036_2.json ../../../../../list-routine-learning-rs/Cargo.toml
27	:	1594225984.618	 33025.072	0	0	0	0	./run_single.sh out/1594225984/results c073_3 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c073_3.json ../../../../../list-routine-learning-rs/Cargo.toml
14	:	1594225984.593	 33025.312	0	0	0	0	./run_single.sh out/1594225984/results c035_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c035_2.json ../../../../../list-routine-learning-rs/Cargo.toml
23	:	1594225984.610	 33025.542	0	0	0	0	./run_single.sh out/1594225984/results c071_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c071_1.json ../../../../../list-routine-learning-rs/Cargo.toml
29	:	1594225984.622	 33025.671	0	0	0	0	./run_single.sh out/1594225984/results c076_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c076_1.json ../../../../../list-routine-learning-rs/Cargo.toml
18	:	1594225984.601	 33025.957	0	0	0	0	./run_single.sh out/1594225984/results c052_4 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c052_4.json ../../../../../list-routine-learning-rs/Cargo.toml
24	:	1594225984.612	 33026.095	0	0	0	0	./run_single.sh out/1594225984/results c071_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c071_2.json ../../../../../list-routine-learning-rs/Cargo.toml
12	:	1594225984.590	 33027.091	0	0	0	0	./run_single.sh out/1594225984/results c030_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c030_2.json ../../../../../list-routine-learning-rs/Cargo.toml
13	:	1594225984.591	 33027.176	0	0	0	0	./run_single.sh out/1594225984/results c030_4 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c030_4.json ../../../../../list-routine-learning-rs/Cargo.toml
22	:	1594225984.608	 33027.647	0	0	0	0	./run_single.sh out/1594225984/results c070_5 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3/json/c070_5.json ../../../../../list-routine-learning-rs/Cargo.toml
