# c010: c xs = (if (empty? (tail xs)) (head xs) (c (tail xs)))
5;5
5,1,50,5,47,62,5,3,10;10
5,7;7
4;4
29,10,48,4,98,3,33,63;63
89;89
2;2
10,1,8,2,0,1,73,5,5,41;41
9,49,77,4,29;29
85,95,6,31,23,33;33
5,44;44
23,71,73,7,96,68,2,8,0;0
3,5,4,14,0,78;78
14,9,8,4,4;4
75,41,32,40,17,3,9,2;2
49,0,5;5
5,8,0,76,9,40,69;69
16,69,25,18,1,45,18,43,6,5;5
8,7,45,4,48,3,64,6,78,45;45
5,75,6,1,48,3,38,51;51
0,5,0,0,4,18,57,10,39;39
2,81,75,10,6,0,3,21;21
45,9,6,5,3;3
9,26,2,82,95,10,82,57;57
55,36,4;4
4,6,0;0
25,2,92,72,80,10,80,3,1;1
2,2,81,1,38,10,1,10;10
1,45,5,60,2,16,4,22,64,8;8
6;6
35,0,50,3,42,24,79;79
1,85,4,22,35,62,2,1,15;15
0;0
64,98,10,5;5
11,9,26;26
10,67,9,9,9;9
5,79,20,7,2,73,1,3,7;7
8,2,1,9,41,23,5;5
24,81,35,8,9,10,98,0,15;15
10,92,35,91,8,3;3
5,10,8,51,10,2,26,57,6;6
1,89,65,48,9,7;7
55;55
3,12,5,0,6,88,5,8,74,10;10
67,97,31;31
7;7
18,1,2,9,52;52
7,6,8,9,53,3;3
9,7;7
5,1,8,27,5,92,54,67,8;8
