Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
27	:	1599249770.273	 33015.624	0	0	0	0	./run_single.sh out/1599249770/results c027_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c027_1.json ../../../../../list-routine-learning-rs/Cargo.toml
7	:	1599249770.224	 33016.302	0	0	0	0	./run_single.sh out/1599249770/results c007_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c007_1.json ../../../../../list-routine-learning-rs/Cargo.toml
14	:	1599249770.239	 33016.978	0	0	0	0	./run_single.sh out/1599249770/results c014_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c014_1.json ../../../../../list-routine-learning-rs/Cargo.toml
24	:	1599249770.265	 33017.113	0	0	0	0	./run_single.sh out/1599249770/results c024_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c024_1.json ../../../../../list-routine-learning-rs/Cargo.toml
17	:	1599249770.244	 33017.446	0	0	0	0	./run_single.sh out/1599249770/results c017_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c017_1.json ../../../../../list-routine-learning-rs/Cargo.toml
19	:	1599249770.248	 33017.493	0	0	0	0	./run_single.sh out/1599249770/results c019_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c019_2.json ../../../../../list-routine-learning-rs/Cargo.toml
12	:	1599249770.234	 33017.713	0	0	0	0	./run_single.sh out/1599249770/results c012_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c012_2.json ../../../../../list-routine-learning-rs/Cargo.toml
21	:	1599249770.255	 33017.881	0	0	0	0	./run_single.sh out/1599249770/results c021_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c021_1.json ../../../../../list-routine-learning-rs/Cargo.toml
16	:	1599249770.242	 33018.476	0	0	0	0	./run_single.sh out/1599249770/results c016_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c016_1.json ../../../../../list-routine-learning-rs/Cargo.toml
10	:	1599249770.231	 33018.526	0	0	0	0	./run_single.sh out/1599249770/results c010_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c010_1.json ../../../../../list-routine-learning-rs/Cargo.toml
6	:	1599249770.222	 33018.784	0	0	0	0	./run_single.sh out/1599249770/results c006_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c006_1.json ../../../../../list-routine-learning-rs/Cargo.toml
28	:	1599249770.275	 33018.945	0	0	0	0	./run_single.sh out/1599249770/results c028_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c028_1.json ../../../../../list-routine-learning-rs/Cargo.toml
1	:	1599249770.211	 33019.061	0	0	0	0	./run_single.sh out/1599249770/results c001_2 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c001_2.json ../../../../../list-routine-learning-rs/Cargo.toml
22	:	1599249770.258	 33019.205	0	0	0	0	./run_single.sh out/1599249770/results c022_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c022_1.json ../../../../../list-routine-learning-rs/Cargo.toml
20	:	1599249770.250	 33019.355	0	0	0	0	./run_single.sh out/1599249770/results c020_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c020_1.json ../../../../../list-routine-learning-rs/Cargo.toml
9	:	1599249770.228	 33019.523	0	0	0	0	./run_single.sh out/1599249770/results c009_3 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c009_3.json ../../../../../list-routine-learning-rs/Cargo.toml
26	:	1599249770.271	 33019.650	0	0	0	0	./run_single.sh out/1599249770/results c026_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c026_1.json ../../../../../list-routine-learning-rs/Cargo.toml
2	:	1599249770.213	 33019.767	0	0	0	0	./run_single.sh out/1599249770/results c002_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c002_1.json ../../../../../list-routine-learning-rs/Cargo.toml
23	:	1599249770.262	 33019.921	0	0	0	0	./run_single.sh out/1599249770/results c023_1 5 small_simulation.toml /home/rule/library/list-routines-model-comparison/waves/3_1/json/c023_1.json ../../../../../list-routine-learning-rs/Cargo.toml
