# c2-034: C xs = Concat xs [7 3 8 4 3]
;7,3,8,4,3
1,0,4;1,0,4,7,3,8,4,3
7,0,9,9;7,0,9,9,7,3,8,4,3
9,0;9,0,7,3,8,4,3
8,1,0,6,9;8,1,0,6,9,7,3,8,4,3
6,5,6,5;6,5,6,5,7,3,8,4,3
7,6,9,0,2;7,6,9,0,2,7,3,8,4,3
9,2,0,3;9,2,0,3,7,3,8,4,3
5,8;5,8,7,3,8,4,3
5,9,4;5,9,4,7,3,8,4,3
8,3,3,5;8,3,3,5,7,3,8,4,3
6;6,7,3,8,4,3
6,8,4,2;6,8,4,2,7,3,8,4,3
3,3;3,3,7,3,8,4,3
1,6,2,5;1,6,2,5,7,3,8,4,3
3,6,7;3,6,7,7,3,8,4,3
9,4,5,1,5;9,4,5,1,5,7,3,8,4,3
6,8,9;6,8,9,7,3,8,4,3
6,3,1;6,3,1,7,3,8,4,3
5,6,7;5,6,7,7,3,8,4,3
7,8,7,2;7,8,7,2,7,3,8,4,3
7,4;7,4,7,3,8,4,3
5;5,7,3,8,4,3
8;8,7,3,8,4,3
6,2;6,2,7,3,8,4,3
4,7;4,7,7,3,8,4,3
9,8,2,5;9,8,2,5,7,3,8,4,3
6,1,7,9,0;6,1,7,9,0,7,3,8,4,3
3,9,6;3,9,6,7,3,8,4,3
9;9,7,3,8,4,3
1,0,8,9,9;1,0,8,9,9,7,3,8,4,3
0,9;0,9,7,3,8,4,3
1,5,9;1,5,9,7,3,8,4,3
9,9,2,5,1;9,9,2,5,1,7,3,8,4,3
0,1,7,9;0,1,7,9,7,3,8,4,3
2,7;2,7,7,3,8,4,3
0,9,4,9;0,9,4,9,7,3,8,4,3
2,1,1;2,1,1,7,3,8,4,3
2,1,9;2,1,9,7,3,8,4,3
7,6,6,8,3;7,6,6,8,3,7,3,8,4,3
9,6,6,2,5;9,6,6,2,5,7,3,8,4,3
1,1,1,8;1,1,1,8,7,3,8,4,3
6,1,6;6,1,6,7,3,8,4,3
2;2,7,3,8,4,3
4,4,3;4,4,3,7,3,8,4,3
2,5,8;2,5,8,7,3,8,4,3
0,3,1,4;0,3,1,4,7,3,8,4,3
6,6,6,6,2;6,6,6,6,2,7,3,8,4,3
9,5,0,4,1;9,5,0,4,1,7,3,8,4,3
5,4,6,8;5,4,6,8,7,3,8,4,3
