# c2-035: C xs = Concat [9 3 4 0] (Concat xs [7 2 9 1])
6;9,3,4,0,6,7,2,9,1
7;9,3,4,0,7,7,2,9,1
2,2;9,3,4,0,2,2,7,2,9,1
5,1;9,3,4,0,5,1,7,2,9,1
;9,3,4,0,7,2,9,1
8,5;9,3,4,0,8,5,7,2,9,1
7,4;9,3,4,0,7,4,7,2,9,1
6,9;9,3,4,0,6,9,7,2,9,1
4,7;9,3,4,0,4,7,7,2,9,1
8;9,3,4,0,8,7,2,9,1
9,8;9,3,4,0,9,8,7,2,9,1
1;9,3,4,0,1,7,2,9,1
9;9,3,4,0,9,7,2,9,1
1,1;9,3,4,0,1,1,7,2,9,1
4,1;9,3,4,0,4,1,7,2,9,1
1,0;9,3,4,0,1,0,7,2,9,1
5;9,3,4,0,5,7,2,9,1
1,2;9,3,4,0,1,2,7,2,9,1
1,9;9,3,4,0,1,9,7,2,9,1
8,3;9,3,4,0,8,3,7,2,9,1
3,1;9,3,4,0,3,1,7,2,9,1
9,0;9,3,4,0,9,0,7,2,9,1
0,6;9,3,4,0,0,6,7,2,9,1
1,7;9,3,4,0,1,7,7,2,9,1
0;9,3,4,0,0,7,2,9,1
3;9,3,4,0,3,7,2,9,1
3,6;9,3,4,0,3,6,7,2,9,1
7,2;9,3,4,0,7,2,7,2,9,1
2;9,3,4,0,2,7,2,9,1
7,9;9,3,4,0,7,9,7,2,9,1
8,4;9,3,4,0,8,4,7,2,9,1
6,7;9,3,4,0,6,7,7,2,9,1
4;9,3,4,0,4,7,2,9,1
6,3;9,3,4,0,6,3,7,2,9,1
0,3;9,3,4,0,0,3,7,2,9,1
6,0;9,3,4,0,6,0,7,2,9,1
9,9;9,3,4,0,9,9,7,2,9,1
1,5;9,3,4,0,1,5,7,2,9,1
5,3;9,3,4,0,5,3,7,2,9,1
8,1;9,3,4,0,8,1,7,2,9,1
6,1;9,3,4,0,6,1,7,2,9,1
1,8;9,3,4,0,1,8,7,2,9,1
5,8;9,3,4,0,5,8,7,2,9,1
4,9;9,3,4,0,4,9,7,2,9,1
9,5;9,3,4,0,9,5,7,2,9,1
3,5;9,3,4,0,3,5,7,2,9,1
7,1;9,3,4,0,7,1,7,2,9,1
0,2;9,3,4,0,0,2,7,2,9,1
6,2;9,3,4,0,6,2,7,2,9,1
1,3;9,3,4,0,1,3,7,2,9,1
