# c2-031: C xs = (If (< (Len xs) 7) (Tail (Tail xs)) (Slice 3 7 xs))
6,0,2,8,5;2,8,5
2,4,2,4,8,4;2,4,8,4
2;
9,3,0,9,4,9,0,6,6,6;0,9,4,9,0
1,8,7,8,4,3,4,4;7,8,4,3,4
1,9,8,8,2,3,7,8;8,8,2,3,7
7,6,4,9,7;4,9,7
7,7,8;8
4,8,4,9,2,8,6,4,2;4,9,2,8,6
5,5;
4,0,2,7,0,3,4,3;2,7,0,3,4
;
8,0,0,8,4;0,8,4
0,4,7,5,9,4,2,9,3;7,5,9,4,2
9,3,1,5,8,8,7;1,5,8,8,7
1,5;
8,0,5,3,5,7,5,0,3;5,3,5,7,5
0,7,7,0,5;7,0,5
2,2,4,2,7,7,3,2,7;4,2,7,7,3
6,4,7,4;7,4
2,4;
8,5,1,7,0;1,7,0
1;
0,2,7,3,6,8,9,8;7,3,6,8,9
8,2,4,5,3,2;4,5,3,2
1,9,0,7,3,0,9,1;0,7,3,0,9
7,0,5,6;5,6
8,0,2;2
3,7,4,8,7,8,4;4,8,7,8,4
3,2,7,3,5,4;7,3,5,4
7,5,3,4,0,1,1,1;3,4,0,1,1
7,6,2;2
2,3,5,6,6,7,3,4;5,6,6,7,3
5,4,5,1,1,1;5,1,1,1
5,2,9;9
1,9,6,9,8,1,4;6,9,8,1,4
1,1,2,3,3,9,7,0;2,3,3,9,7
3,2,1,5,3,7,0,5,5;1,5,3,7,0
0,2,9,8;9,8
7,4,0,0,1,2,8,7,8,6;0,0,1,2,8
1,8,1,4,8,8,9,5;1,4,8,8,9
6,5,4,2,9,2;4,2,9,2
3,8,5,1,3,1,5,3;5,1,3,1,5
9,4,7,2;7,2
9,5,0,9,3,2,5,0,6,3;0,9,3,2,5
3,0;
7,1;
6;
4,0;
6,7,4,8,6,3,1,2,6;4,8,6,3,1
